"Gene" "BF" "LoF.BF" "nonLoF.BF"
"243" "FAM183A" 0.97726630601672 0.854045793141947 1.14427857834351
"244" "EBNA1BP2" 0.87198126606157 0.977321256357247 0.89221559481034
"245" "WDR65" 0.970754696248229 0.849510426173477 1.14272252151264
"246" "C1orf210" 1.03244739925655 0.997200144213831 1.03534621935951
"247" "MPL" 0.645604007989416 0.909210193348729 0.710071238435614
"248" "CDC20" 0.810056468446404 1.08263729017422 0.748225168113364
"249" "SZT2" 0.678072987470047 0.896972528746529 0.755957362950254
"250" "HYI" 0.995207553991125 0.997200144213831 0.998001815147875
"251" "PTPRF" 1.52371727166855 1.10862718282991 1.37441810490256
"252" "KDM4A" 1.04915037007058 0.896972528746529 1.16965719288717
"253" "ST3GAL3" 0.974241214022954 0.947086336479694 1.02867201911517
"254" "CCDC24" 1.16132346116901 1.10862718282991 1.04753291201519
"255" "SLC6A9" 1.03954465544463 0.947086336479694 1.09762396035467
"256" "KLF17" 0.86555163271927 0.944520222977254 0.916392906856917
"257" "BEST4" 0.939878283821582 0.947086336479694 0.992389233821169
"258" "HECTD3" 1.0203835211649 0.947086336479694 1.0773922945163
"259" "UROD" 0.865998595488884 1.05291366352133 0.822478257706967
"260" "ZSWIM5" 1.30231675793078 0.947086336479694 1.37507712630664
"261" "MUTYH" 0.77268860467151 1.10862718282991 0.696977862926945
"262" "TESK2" 0.937220427069368 1.05291366352133 0.890120870817611
"263" "MMACHC" 0.867510504012994 1.17943236969132 0.735532215586078
"264" "PRDX1" 1.10749678656665 1.05291366352133 1.05184007477192
"265" "AKR1A1" 0.73783496233917 0.8749826975016 0.843256631755077
"266" "GPBP1L1" 2.18618179999475 1.05291366352133 2.07631629803658
"267" "IPP" 0.836363104382335 0.947086336479694 0.88309066678238
"268" "PIK3R3" 1.29874359487461 0.994408127620084 1.30604684213804
"269" "TSPAN1" 1.54796250717476 0.980756989207225 1.57833441332499
"270" "RAD54L" 1.22645171895781 1.05291366352133 1.16481698495212
"271" "NSUN4" 0.892741787065405 1.01364329922044 0.880725781694593
"272" "FAAH" 0.795199981749682 0.928861543885126 0.856101737642856
"273" "MKNK1" 1.09009723694146 1.05291366352133 1.03531493104171
"274" "EFCAB14" 0.982200940452083 1.05291366352133 0.932840910400234
"275" "CYP4B1" 0.986997511540819 0.947086336479694 1.04214101030057
"276" "CYP4A11" 0.888219028277636 0.9444346313205 0.940476978312132
"277" "CYP4X1" 1.53822487421377 1.079606061893 1.42480199816275
"278" "CYP4A22" 0.950618482781845 1.05327678530986 0.902534353780694
"279" "STIL" 1.14493912289159 1.05291366352133 1.08740076471464
"280" "SLC5A9" 2.7231021731352 1.00533329355031 2.70865611494734
"281" "SPATA6" 0.78029561119168 0.843858094684232 0.924676336112723
"282" "EPS15" 0.841086020719307 1.05291366352133 0.798817652253088
"283" "TXNDC12" 0.8065479868783 0.947086336479694 0.85160978024055
"284" "CC2D1B" 0.770123724259343 0.997200144213831 0.772286013723445
