Gene,BF,LoF.BF,nonLoF.BF
EPM2AIP1,1.373301073,1,1.373301073
CTNNB1,0.404280155,1,0.404280155
SNRK,1.182272527,1,1.182272527
DHX30,1.572953957,1,1.572953957
QRICH1,1.911960501,1,1.911960501
RBM5,0.785143447,1,0.785143447
SEMA3F,0.170847947,1,0.170847947
DOCK3,3.065904681,1,3.065904681
RBM15B,1.129677846,1,1.129677846
VPRBP,3.077321818,1,3.077321818
CACNA1D,6.523911918,1,6.523911918
FEZF2,0.841035426,1,0.841035426
CASR,1.177935195,1,1.177935195
PLXNA1,0.620473376,1,0.620473376
STAG1,1.57403329,1,1.57403329
C3orf58,0.746600441,1,0.746600441
ZIC1,0.455910666,1,0.455910666
PIK3CA,0.581223386,1,0.581223386
TRA2B,1.420694592,1,1.420694592
GP5,1.066718246,1,1.066718246
PAK2,0.591697647,1,0.591697647
DHX15,1.421368669,1,1.421368669
PDS5A,0.594935956,1,0.594935956
ANKRD17,0.612489388,1,0.612489388
PRDM8,0.614374064,1,0.614374064
PCDH10,2.062666157,1,2.062666157
SMARCA5,1.149484803,1,1.149484803
RAPGEF2,0.531235286,1,0.531235286
TERT,0.832053212,1,0.832053212
6-Mar,1.10731295,1,1.10731295
DROSHA,0.193325102,1,0.193325102
NIPBL,0.362652734,1,0.362652734
RICTOR,0.596598777,1,0.596598777
HCN1,0.719512174,1,0.719512174
KIF2A,0.563807506,1,0.563807506
TNPO1,2.854410617,1,2.854410617
PDE8B,1.102012537,1,1.102012537
NR2F1,1.343198884,1,1.343198884
AFF4,0.563910062,1,0.563910062
KDM3B,1.033405993,1,1.033405993
HDAC3,0.705181236,1,0.705181236
TCERG1,0.559788205,1,0.559788205
CAMK2A,1.116702433,1,1.116702433
GRIA1,0.162565915,1,0.162565915
EBF1,1.471492953,1,1.471492953
CPEB4,0.937054284,1,0.937054284
UNC5A,0.386397575,1,0.386397575
NSD1,0.583279107,1,0.583279107
HNRNPH1,1.271331889,1,1.271331889
TFAP2A,0.841045551,1,0.841045551
GABBR1,1.158964574,1,1.158964574
HLA-B,0.750899572,1,0.750899572
EHMT2,0.804154048,1,0.804154048
CFB,1.272004617,1,1.272004617
SYNGAP1,1.198467288,1,1.198467288
SCUBE3,0.138394458,1,0.138394458
BRPF3,0.805981693,1,0.805981693
USP49,0.689291771,1,0.689291771
GTPBP2,0.517298839,1,0.517298839
KCNQ5,1.009199682,1,1.009199682
PHIP,1.322069191,1,1.322069191
BEND3,1.089600644,1,1.089600644
SOBP,0.468771126,1,0.468771126
SOGA3,1.522635374,1,1.522635374
MED23,1.011602148,1,1.011602148
