"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue"
"BRWD1",0.1875,0.0258681694718296,0.0375802021854651
"CEP350",0.125,0.0116410812869622,0.013117722662271
"PPARG",1,0.0052274091609461,0.0326913779141023
"RARA",0.5,0.0110092941869617,0.0417538808600754
"ADCY5",1,0.012028765929481,0.0652013764513399
"PGA3",1,0.719629996049797,0.956401285329664
"SLC20A1",0.0625,0.695099801185761,0.198147266660094
"ARHGAP11A",0.875,0.169564255134388,0.414476080490496
"ATXN10",0.0625,0.845033232880496,0.222950362892154
"MGAT5B",0.75,0.139500668543027,0.340194072744797
"MUCL3",1,0.00721667381623729,0.0428046985073908
"NBEAL2",0.125,0.410083399147355,0.217501140186771
"HMGCS1",1,0.157153289931969,0.44797073031234
"FGD6",0.0625,0.232623734673492,0.0856203354529051
"ACIN1",0.5,0.327543185015036,0.47448459834172
"AP3D1",0.5,0.0997398385280134,0.215167004231276
"MEGF10",0.125,0.00542681155379407,0.00823736667927664
"RIPOR2",0.34375,0.010796656335652,0.0275733486243166
"CNTN4",0.0625,0.537181346738635,0.162825156445891
"DDB1",1,0.00228076637320412,0.0161552241899019
"CAPRIN1",0.0625,0.544463939386954,0.191968109368536
"CELF3",1,0.500000000000002,0.846573590279974
"OR2B6",0.75,0.102365988165297,0.270698840575165
"RENBP",0.0625,0.660733993173337,0.200107589126713
"C4orf3",0.125,0.225103996174616,0.162873752083313
"TP63",0.1875,0.0775042568147307,0.0967962722711201
"JTB",1,0.596076845198236,0.904478472261547
"EPHA4",0.125,0.225103996174616,0.162873752083313
"ZNF282",1,0.814815073034968,0.981684389112088
"PTCH1",0.5,0.392161693348199,0.52764435206039
"LMCD1",1,0.00473566211860716,0.0254613101758766
"CKAP5",0.125,0.550212164682439,0.277151040132603
"KIAA1109",0.0384063720703125,0.00824322076217473,0.00467782707951843
"COL4A3",0.3125,0.303093480725173,0.332497895365859
"CDC37",0.5,0.0384379856266619,0.108132785543562
"STRN",0.125,0.595025473540537,0.30992841891094
"ADGRB1",0.5,0.00203850251575542,0.00924925535160806
"TAOK1",0.5,0.280690372149492,0.45320063286513
"EPB41L1",0.25,0.614733280660225,0.458532711768204
"KCNH7",0.25,0.390684895531426,0.342384551305333
"CARD10",1,0.115249215444262,0.364263401412116
"KCNV1",1,0.0064697265625,0.0390811689437915
"CHST1",0.25,0.153728127479553,0.243852074210463
"ABLIM1",0.125,0.667858638346399,0.310784874922569
"DNER",0.125,0.0988979195697478,0.0849899471402429
"WDR70",0.25,0.101086553048088,0.150660307050337
"INO80",1,0.0141414949095331,0.0743650576891781
"ZNF441",0.5,0.412233067475386,0.545104661599721
"CBX7",0.125,0.5,0.322356895636656
"TULP1",0.125,0.0874004150609334,0.0776297481210804
"OR2A4",0.125,0.125,0.38493019270998
"LPA",0.0535157058030064,0.730807750388414,0.187161242253067
"NARS2",0.5,0.187545811196311,0.338784893723457
"NCAPG",0.125,0.090587947088949,0.0786750552448602
"RAD21",0.0120597723871469,0.00983869724643298,0.00867008753695068
"ACHE",1,0.016865189517328,0.0857173859847852
"TRIM3",1,0.347002047038066,0.714277549806725
"MRTFA",1,0.363005368470817,0.730852377545704
"SLC5A6",0.109375,0.16025938086391,0.117883888568825
"ECE1",0.25,0.143994643265828,0.179334903905723
"GALNT2",0.125,0.173315480865563,0.126799628580532
"PCNX1",0.25,0.268914852389669,0.26114900404847
"NAGS",0.75,0.311597249220569,0.572146673821185
"ZNF605",0.125,0.125,0.38493019270998
"HSP90AA1",0.125,0.125,0.38493019270998
"SEMA4A",0.125,0.529849625844161,0.260916805758827
"EMX1",0.5,0.04656982421875,0.147103612132984
"QARS",0.65625,0.0291740893098771,0.0918278099898004
"PRDM10",0.25,0.164847072535971,0.191940056103459
"ABCB1",0.125,0.707544463242637,0.31399080780776
"GPRASP1",0.125,0.146318554094015,0.118235681380716
"CCR10",1,0.29682373065307,0.624051004670194
"BNC2",1,0.122508902280809,0.379725111801417
"PLXNB1",0.5,0.0765198861965231,0.170495770558884
"CDC25B",0.5,0.0584772012317687,0.148331132608052
"DNM1",1,0.0479618157054121,0.19363864099291
"GNMT",0.5,0.0423230463354179,0.122113676866631
"DPF3",0.109375,0.447672729605519,0.230170291028132
"DENND1A",0.25,0.124697764414324,0.154015056203447
"PELP1",0.125,0.179475501988741,0.124155276817133
"IQGAP1",0.125,0.422269116587094,0.224802672570213
"PTPRK",0.109375,0.297059799797425,0.166883550544394
"SOCS6",1,0.0131508325655611,0.0701106418854798
"RAB30",0.125,0.411901473999024,0.296216792512022
"ATG9A",1,0.173173238453162,0.445711394398161
"VDAC1",1,0.0364756942581153,0.157250699303317
"RILPL1",0.5,0.122945657306342,0.256606931115752
"KCNMB3",0.85546875,0.613505735200733,0.818580037405819
"CA8",0.25,0.0402534287150413,0.0805650204432892
"BMS1",0.25,0.187792850172874,0.204582583883336
"CERS6",0.5,0.0103403920094588,0.038657787427174
"PDE2A",1,0.606973838757111,0.910017417219862
"CLCNKB",0.0546875,0.0936934438896481,0.0463877954615288
"NUP214",0.125,0.395827967447517,0.212461549790181
"TNR",0.125,0.0547346889982223,0.0489388068332823
"MED12L",0.125,0.321796998699589,0.189414930923953
"FUT7",0.5,0.0128345178995527,0.043908607111701
"MBNL1",1,0.131587982177734,0.398458882476743
"HERC3",0.25,0.0639688378518228,0.103340796963789
"KBTBD6",1,0.0291559657371479,0.132225095736613
"UNC80",0.7734375,0.0353866457929643,0.118623814779989
"ORM2",0.9375,0.0357781060405069,0.122346431060781
"TRPC4AP",0.125,0.159370642052627,0.126127460195183
"WDR13",1,0.0813778287265449,0.285526515487495
"MAPKAPK2",1,0.0170933641738696,0.0866473732249529
"GRIP1",0.25,0.440632526625007,0.369207548523068
"FAM45A",0.125,0.0284113444615876,0.0375008488475331
