"","LoF_pvalue","LoF+Missense_pvalue","fisher_combine_pvalue"
"CRHR1",1,0.831817650090844,0.978219418210544
"PDZRN3",1,0.454056758240805,0.790828848018359
"PPP1R14B",1,0.288927677347483,0.647654177534831
"MOS",1,0.549455837283506,0.878484760526724
"TMED7-TICAM2",0.249948605513182,0.953501571518544,0.527694609601689
"HAUS6",0.454247288412378,0.669403279607953,0.638454481395542
"SLC39A8",1,0.36614475197619,0.721825912955524
"PRICKLE1",1,0.0327009057625107,0.144549530614895
"KLHL12",0.49996572290589,0.191482758353737,0.232723569641462
"UFC1",1,0.0972543701997972,0.323898420855653
"KTN1",1,0.660270855998345,0.945751729257511
"COL24A1",0.855387068476223,0.714382091458749,0.893669120409137
"SERPINE2",1,0.875512291683518,0.996431035397615
"PSMA7",1,0.803511708884093,0.979290759934002
"MOBP",1,1,0.97236819806837
"E2F2",1,0.657914670668314,0.920534693723671
"HIST1H4B",0.218653694808287,0.218653694808287,0.551065495318603
"TYMP",1,0.642184213057617,0.936691611646826
"PDE4B",1,0.510919966618665,0.854024347431141
"TYRO3",1,0.675570247256218,0.913621431415426
"HIST2H3D",1,0.582445930070547,0.897268976178058
"TMEM71",1,0.824099828478725,0.975919573600535
"STS",1,0.933298126264335,0.990678653214939
"ACTR3B",1,0.382965117097471,0.750539391576064
"PITPNC1",1,0.742512331592756,0.915077205466448
"KIAA0391",1,0.0541539149941385,0.209249285481645
