"","No_case","No_contr","OR","pval","eta_est","eta_pval","cate_index"
"Mod_PLI>=0.995_0.0001<0.001",19,11,1.72727272727273,0.100244211032987,1.99306241493382e-05,1,1
"Mod_PLI>=0.995_AF<0.0001",48,27,1.77777777777778,0.0101492034950537,0.431253620120506,0.00837920128205445,1
"Mod_pLI within (0.5,0.995)_0.001<AF<0.01",16,13,1.23076923076923,0.355535551905632,5.69332031290673e-08,1,2
"Mod_pLI within (0.5,0.995)_0.0001<0.001",3,1,3,0.3125,0.99998277393049,0.392413517696384,2
"Mod_pLI within (0.5,0.995)_AF<0.0001",22,13,1.69230769230769,0.087732624495402,0.423413609405543,0.0694411826222873,2
"Mod_pLI<0.5_0.001<AF<0.01",426,395,1.07848101265823,0.147545803506304,8.93025961837506e-08,1,3
"Mod_pLI<0.5_0.0001<0.001",129,116,1.11206896551724,0.221676683863058,0.0613894410126734,0.525570782197044,3
"Mod_pLI<0.5_AF<0.0001",223,171,1.30409356725146,0.00504974063651501,0.172857188683327,0.0197216548572372,3
"Mod_MPC>=2_0.001<AF<0.01",288,302,0.95364238410596,0.731542910442829,7.85076955650819e-06,1,4
"Mod_MPC>=2_0.0001<0.001",49,57,0.859649122807018,0.80893709473539,0.0985778913458428,0.469023066608127,4
"Mod_MPC>=2_AF<0.0001",353,325,1.08615384615385,0.149882352499172,0.088077585821642,0.3026729201135,4
"Mod_MPC within (1,2)_0.001<AF<0.01",2079,2095,0.99236276849642,0.60377346888586,0.0141413343430545,0.49839509360175,5
"Mod_MPC within (1,2)_0.0001<0.001",1218,1228,0.99185667752443,0.588001853882043,6.81705183934497e-05,1,5
"Mod_MPC within (1,2)_AF<0.0001",2075,1931,1.07457276022786,0.0119252911297954,0.0783090740015069,0.023624072839079,5
"Mod_MPC<1_0.001<AF<0.01",23168,23334,0.992885917545213,0.780660763974321,1.54844811046691e-05,1,6
"Mod_MPC<1_0.0001<0.001",9441,9261,1.01943634596696,0.0952821135777629,0.0049822430523595,0.634803881216494,6
"Mod_MPC<1_AF<0.0001",12295,11602,1.05973108084813,3.78932201637907e-06,0.067710764672241,1.93088337089773e-05,6
"PSD_PLI>=0.995_0.001<AF<0.01",NA,NA,NA,NA,NA,NA,1
"PSD_PLI>=0.995_0.0001<0.001",9,13,0.692307692307692,0.856860637664795,2.86024790321363e-05,1,1
"PSD_PLI>=0.995_AF<0.0001",98,49,2,3.25876287981373e-05,0.538029677198527,7.41059900477316e-06,1
"PSD_pLI within (0.5,0.995)_0.001<AF<0.01",24,18,1.33333333333333,0.220399533671299,2.11839953553402e-07,1,2
"PSD_pLI within (0.5,0.995)_0.0001<0.001",4,11,0.363636363636364,0.982421875,3.884210726371e-06,1,2
"PSD_pLI within (0.5,0.995)_AF<0.0001",73,61,1.19672131147541,0.171007354433155,0.147499380306838,0.246158244366345,2
"PSD_pLI<0.5_0.001<AF<0.01",92,115,0.8,0.952472483159925,2.08208607650315e-10,1,3
"PSD_pLI<0.5_0.0001<0.001",62,53,1.16981132075472,0.227907014777596,1.42453867188236e-05,1,3
"PSD_pLI<0.5_AF<0.0001",223,265,0.841509433962264,0.974259446533023,0.000413785399925544,1,3
"PSD_MPC>=2_0.001<AF<0.01",592,632,0.936708860759494,0.879388768109276,1.71946474924064e-05,1,4
"PSD_MPC>=2_0.0001<0.001",215,175,1.22857142857143,0.0240734886031538,0.154406192236566,0.210101375146854,4
"PSD_MPC>=2_AF<0.0001",858,725,1.18344827586207,0.000451016304371601,0.194867379115213,0.000343487657745165,4
"PSD_MPC within (1,2)_0.001<AF<0.01",6382,6326,1.00885235535884,0.312813879274502,4.607611674807e-06,1,5
"PSD_MPC within (1,2)_0.0001<0.001",2544,2537,1.00275916436736,0.466459691112184,0.000221092146134383,1,5
"PSD_MPC within (1,2)_AF<0.0001",5104,4742,1.07633909742725,0.000137115749727466,0.0747812110637368,0.000591394699741438,5
"PSD_MPC<1_0.001<AF<0.01",36879,37309,0.988474630786137,0.943218737036132,8.76371103256508e-06,1,6
"PSD_MPC<1_0.0001<0.001",14175,14205,0.997888067581837,0.572999329088518,0.00159180482573747,0.794057144591568,6
"PSD_MPC<1_AF<0.0001",16250,15335,1.05966742745354,1.35036040891576e-07,0.0630060131561083,1.79189976067133e-07,6
"FMRP_PLI>=0.995_0.001<AF<0.01",39,47,0.829787234042553,0.834082822700042,1.60876992594682e-10,1,1
"FMRP_PLI>=0.995_0.0001<0.001",15,16,0.9375,0.639949934091419,0.000162663851513677,1,1
"FMRP_PLI>=0.995_AF<0.0001",182,141,1.29078014184397,0.0129422300112274,0.189225791158215,0.0177694361462223,1
"FMRP_pLI within (0.5,0.995)_0.001<AF<0.01",NA,NA,NA,NA,NA,NA,2
"FMRP_pLI within (0.5,0.995)_0.0001<0.001",15,26,0.576923076923077,0.970208055990952,5.16384512091651e-12,1,2
"FMRP_pLI within (0.5,0.995)_AF<0.0001",71,80,0.8875,0.792072253117845,0.00046757771313139,1,2
"FMRP_pLI<0.5_0.001<AF<0.01",55,71,0.774647887323944,0.935211930356807,1.05005608876047e-08,1,3
"FMRP_pLI<0.5_0.0001<0.001",50,77,0.649350649350649,0.993669657739761,5.50799889218454e-05,1,3
"FMRP_pLI<0.5_AF<0.0001",265,210,1.26190476190476,0.0065703437193667,0.197104691014215,0.00327188810604808,3
"FMRP_MPC>=2_0.001<AF<0.01",742,867,0.855824682814302,0.999162794809322,2.00136343746613e-06,1,4
