"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue"
"CELF3",1,0.0391769409179688,0.166097181500612
"OR2B6",0.75,0.75,0.965761554338836
"RENBP",0.0625,0.0625,0.235786795139986
"C4orf3",0.125,0.0625,0.235786795139986
"TP63",0.1875,0.1875,0.501370581294688
"JTB",1,0.0173448324203491,0.0876687731257383
"EPHA4",0.125,0.1875,0.315667838824839
"ZNF282",1,0.01953125,0.0964011627352629
"PTCH1",0.5,0.5,0.846573590279973
"LMCD1",1,1,1
"CKAP5",0.125,0.125,0.38493019270998
"KIAA1109",0.0384063720703125,0.00590896606445313,0.0168798900514908
"COL4A3",0.3125,0.3125,0.675984628064276
"CDC37",0.5,0.5,0.846573590279973
"STRN",0.125,0.0625,0.235786795139986
"ADGRB1",0.5,0.623046875,0.740890192628203
"TAOK1",0.5,0.0286865234375,0.110030815037782
"EPB41L1",0.25,0.0625,0.235786795139986
"KCNH7",0.25,0.03125,0.139554246962492
"CARD10",1,0.00390625,0.0255670993924983
"KCNV1",1,0.0078125,0.045718986436872
"CHST1",0.25,0.03515625,0.125761215109257
"ABLIM1",0.125,0.125,0.38493019270998
"DNER",0.125,0.125,0.38493019270998
"WDR70",0.25,0.2265625,0.38493019270998
"INO80",1,0.015625,0.0806075481774949
"ZNF441",0.5,0.5,0.846573590279973
"CBX7",0.125,0.125,0.38493019270998
"TULP1",0.125,0.125,0.38493019270998
"OR2A4",0.125,0.125,0.38493019270998
"LPA",0.0535157058030064,0.0107416753888612,0.0126062530322087
"NARS2",0.5,0.5,0.846573590279973
"NCAPG",0.125,0.125,0.38493019270998
"RAD21",0.0120597723871469,0.0250512298662215,0.0585801626855674
"ACHE",1,0.0216426253318787,0.104600767187041
"TRIM3",1,0.01544189453125,0.0798449568417519
"MRTFA",1,0.015625,0.0806075481774949
"SLC5A6",0.109375,0.109375,0.351418914689539
"ECE1",0.25,0.25,0.596573590279973
"GALNT2",0.125,0.125,0.38493019270998
"PCNX1",0.25,0.25,0.596573590279973
"NAGS",0.75,0.01953125,0.0359748769709262
"ZNF605",0.125,0.125,0.38493019270998
"HSP90AA1",0.125,0.125,0.38493019270998
"SEMA4A",0.125,0.125,0.38493019270998
"EMX1",0.5,0.0546875,0.184306834784254
"QARS",0.65625,0.65625,0.932671336456324
"PRDM10",0.25,0.395263671875,0.440601590835
"ABCB1",0.125,0.125,0.38493019270998
"GPRASP1",0.125,0.125,0.38493019270998
"CCR10",1,0.19384765625,0.359994401641795
"BNC2",1,0.01953125,0.0964011627352629
"PLXNB1",0.5,0.5,0.846573590279973
"CDC25B",0.5,0.0546875,0.184306834784254
"DNM1",1,0.179641723632813,0.48804898850748
"GNMT",0.5,0.125,0.38493019270998
"DPF3",0.109375,0.109375,0.351418914689539
"DENND1A",0.25,0.25,0.596573590279973
"PELP1",0.125,0.125,0.38493019270998
"IQGAP1",0.125,0.03125,0.139554246962492
"PTPRK",0.109375,0.109375,0.351418914689539
"SOCS6",1,1,1
"RAB30",0.125,0.125,0.38493019270998
"ATG9A",1,0.0748063921928405,0.197891024605787
"VDAC1",1,1,1
"RILPL1",0.5,0.0144796371459961,0.049845647407594
