"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue","LoF_ACAT_pvalue","Missense_ACAT_pvalue"
"SSTR2",0.5,0.5,0.846573590279973,0.5,0.972222222222222
"CLCA1",0.3125,0.3125,0.675984628064276,0.75,0.989247311827957
"CYTIP",1,1,1,1,0.975609756097561
"RNF167",1,1,1,1,0.979591836734694
"CAPN9",0.228241117482563,0.228241117482563,0.56543374316942,0.909090909090909,0.990740740740741
"EMP3",0.8665771484375,0.8665771484375,0.990674583064462,0.8,0.909090909090909
"MAP7D1",1,0.5,0.846573590279973,NA,0.98780487804878
"ADAM8",0.3125,0.3125,0.675984628064276,0.75,0.990654205607477
"DLGAP5",0.0625,0.0625,0.235786795139986,0.5,0.985714285714286
"CTHRC1",0.5,0.5,0.846573590279973,0.666666666666667,0.971428571428571
"MYLK3",0.8125,0.8125,0.981206983882324,0.666666666666667,0.988888888888889
"EIF4EBP1",1,1,1,NA,0.8
"ADAM18",0.764560493189144,0.764560493189144,0.969809914426773,0.909090909090909,0.988372093023256
"MYLK4",0.285794094204903,0.285794094204903,0.643746532403461,0.472615289166442,0.975
"KRTAP19-7",1,1,1,1,0.909090909090909
