"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF","g7_count","g7_BF","g8_count","g8_BF","g9_count","g9_BF","g10_count","g10_BF","g11_count","g11_BF","g12_count","g12_BF","g13_count","g13_BF","g14_count","g4_BF.1","g15_count","g15_BF"
"61","ARHGAP30",13.2769,"NA","853 vs 868","-",NA,"-",NA,"0 vs 1",0.55,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 7",1.38,"-",NA,"-",NA,"129 vs 130",17.68,"174 vs 185",0.99,"540 vs 545",0.99
"62","NRXN2",13.2761,"4","208 vs 196","0 vs 1",0.62,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 4",2.63,"-",NA,"-",NA,"73 vs 52",24.8,"44 vs 42",1,"-",NA,"82 vs 97",0.33,"-",NA,"-",NA
"63","SV2B",13.272,"NA","306 vs 361","-",NA,"-",NA,"0 vs 1",0.55,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"20 vs 18",7.04,"-",NA,"-",NA,"90 vs 93",3.44,"23 vs 23",1,"173 vs 226",1
"64","ZNF777",13.1187,"NA","153 vs 140","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"4 vs 0",2.51,"-",NA,"-",NA,"20 vs 19",1.16,"21 vs 20",1,"-",NA,"43 vs 24",4.51,"65 vs 77",1,"-",NA
"65","IMPACT",13.0882,"NA","62 vs 42","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"59 vs 40",13.09,"3 vs 2",1,"-",NA
"66","AP3D1",12.7862,"NA","145 vs 123","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"4 vs 4",0.86,"-",NA,"-",NA,"42 vs 27",5.7,"-",NA,"-",NA,"98 vs 91",1.81,"0 vs 1",1,"-",NA
"67","DPYD",12.7621,"4","1447 vs 1391","-",NA,"-",NA,"-",NA,"-",NA,"59 vs 54",1.12,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"140 vs 102",11.52,"206 vs 228",0.99,"1042 vs 1007",0.99
"68","POLR3D",12.6787,"NA","169 vs 150","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 0",1.12,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 0",1.36,"-",NA,"-",NA,"51 vs 25",8.37,"27 vs 31",1,"85 vs 94",1
"69","CTNNA2",12.6204,NA,"87 vs 71","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"19 vs 6",9.74,"-",NA,"-",NA,"14 vs 10",1.26,"-",NA,"-",NA,"29 vs 25",1.03,"25 vs 30",1,"-",NA
"70","CHD1",12.5879,"4","329 vs 299","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"5 vs 2",1.6,"110 vs 130",1,"-",NA,"19 vs 19",0.69,"-",NA,"-",NA,"77 vs 45",11.46,"118 vs 103",1,"-",NA
"71","DGKH",12.3817,"NA","683 vs 643","-",NA,"-",NA,"2 vs 0",2.1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"46 vs 29",6.21,"26 vs 20",1,"-",NA,"62 vs 56",0.93,"111 vs 102",1.02,"436 vs 436",1
"72","DCAF5",12.2107,"NA","125 vs 98","2 vs 0",1.9,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.95,"-",NA,"-",NA,"14 vs 9",1.46,"-",NA,"-",NA,"63 vs 37",4.62,"45 vs 51",1,"-",NA
"73","LRRN1",12.1458,"NA","802 vs 767","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"96 vs 73",8.44,"110 vs 121",1,"595 vs 573",1
"74","MED15",12.0013,"NA","111 vs 71","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"15 vs 7",1.7,"22 vs 16",1,"-",NA,"56 vs 33",4.87,"17 vs 15",1,"-",NA
"75","PIGG",11.9846,"NA","318 vs 284","-",NA,"-",NA,"-",NA,"-",NA,"15 vs 14",1.02,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"151 vs 108",11.86,"152 vs 162",0.99,"-",NA
