"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF","g7_count","g7_BF","g8_count","g8_BF","g9_count","g9_BF","g10_count","g10_BF","g11_count","g11_BF","g12_count","g12_BF","g13_count","g13_BF","g14_count","g4_BF.1","g15_count","g15_BF"
"94","PITPNM3",9.9045,"NA","272 vs 223","1 vs 0",1.38,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"34 vs 25",1.58,"-",NA,"-",NA,"77 vs 50",4.56,"160 vs 148",1,"-",NA
"95","PNPLA7",9.8022,"4","1101 vs 966","-",NA,"-",NA,"-",NA,"-",NA,"17 vs 10",1.13,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"267 vs 229",8.64,"317 vs 322",1,"500 vs 405",1
"96","SCMH1",9.6876,"NA","210 vs 173","-",NA,"-",NA,"3 vs 1",1.68,"-",NA,"-",NA,"-",NA,"7 vs 2",2.38,"-",NA,"-",NA,"4 vs 6",0.83,"64 vs 36",1,"-",NA,"46 vs 37",2.93,"86 vs 91",1,"-",NA
"97","LRRC43",9.4178,"NA","437 vs 408","-",NA,"-",NA,"-",NA,"-",NA,"13 vs 5",1.41,"-",NA,"-",NA,"-",NA,"-",NA,"18 vs 16",0.87,"-",NA,"-",NA,"102 vs 83",7.7,"304 vs 304",1,"-",NA
"98","PEAK3",9.348,"NA","68 vs 57","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.27,"-",NA,"-",NA,"4 vs 1",1.3,"1 vs 1",1,"-",NA,"35 vs 27",5.64,"25 vs 27",1,"-",NA
"99","AKAP1",9.3409,"NA","650 vs 619","-",NA,"-",NA,"2 vs 0",2.1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 3",0.77,"-",NA,"-",NA,"126 vs 107",5.79,"212 vs 219",1,"310 vs 290",1
"100","CFAP100",9.3372,"NA","565 vs 521","-",NA,"-",NA,"-",NA,"-",NA,"56 vs 53",0.93,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"130 vs 85",10.12,"251 vs 256",0.99,"128 vs 127",1
"101","LARP1B",9.3362,"NA","463 vs 461","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 0",1.14,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"147 vs 98",8.22,"43 vs 59",1,"270 vs 304",1
"102","TRIM32",9.3263,"NA","128 vs 138","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",0.98,"-",NA,"-",NA,"81 vs 72",9.18,"44 vs 64",1,"-",NA
"103","MYO1C",9.3184,"NA","563 vs 536","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 2",1.03,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"192 vs 164",9.12,"368 vs 370",0.99,"-",NA
"104","ZKSCAN5",9.3001,"NA","153 vs 134","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",0.98,"-",NA,"-",NA,"69 vs 46",9.16,"81 vs 86",1,"-",NA
"105","DCTN6",9.2844,"NA","33 vs 13","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"33 vs 13",9.28,"-",NA,"-",NA
"106","ATG4C",9.1512,"NA","175 vs 142","-",NA,"-",NA,"-",NA,"-",NA,"8 vs 11",0.87,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"74 vs 57",10.51,"93 vs 74",1,"-",NA
"107","ABCD4",9.1073,"NA","574 vs 587","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"8 vs 6",0.95,"-",NA,"-",NA,"103 vs 87",9.34,"121 vs 142",0.99,"340 vs 351",1
"108","SUPT5H",9.0926,"NA","43 vs 36","2 vs 0",1.9,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 2",3.54,"-",NA,"-",NA,"25 vs 22",1.9,"-",NA,"-",NA,"7 vs 12",0.71,"-",NA,"-",NA
"109","ATOH8",9.0249,"NA","173 vs 176","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 13",0.69,"0 vs 4",1,"-",NA,"60 vs 43",13.12,"103 vs 116",1,"-",NA
"110","TOE1",9.0018,"NA","488 vs 478","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"37 vs 29",15.56,"-",NA,"-",NA,"42 vs 41",0.6,"27 vs 25",1,"382 vs 382",1
"111","CFAP46",8.9836,"NA","3536 vs 3563","-",NA,"-",NA,"-",NA,"-",NA,"65 vs 62",0.84,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"365 vs 302",11.52,"471 vs 493",0.98,"2635 vs 2706",0.95
"112","INO80",8.9781,"NA","627 vs 504","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 0",3.29,"-",NA,"-",NA,"50 vs 46",1.39,"28 vs 27",1,"-",NA,"108 vs 87",1.94,"175 vs 149",1,"260 vs 195",1.02
"113","PTEN",8.9591,"1","20 vs 15","-",NA,"-",NA,"4 vs 0",4.42,"-",NA,"-",NA,"-",NA,"5 vs 0",2.7,"-",NA,"-",NA,"11 vs 15",0.75,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA
"114","TNNI3K",8.9366,"NA","368 vs 344","-",NA,"-",NA,"-",NA,"-",NA,"11 vs 14",0.88,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"146 vs 109",10.29,"83 vs 82",1,"128 vs 139",1
"115","ANGPT1",8.913,"NA","293 vs 269","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"8 vs 1",8.42,"-",NA,"-",NA,"4 vs 3",1.06,"32 vs 34",1,"-",NA,"33 vs 29",1.01,"-",NA,"216 vs 202",1
"116","TBL3",8.8533,"NA","584 vs 586","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"221 vs 212",8.94,"132 vs 133",1,"230 vs 240",1
"117","OR4D6",8.7781,"NA","863 vs 809","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.95,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"89 vs 66",9.32,"154 vs 150",0.99,"620 vs 591",1
"118","SLIT3",8.6854,NA,"744 vs 700","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"42 vs 42",0.83,"19 vs 13",1,"-",NA,"189 vs 155",7.34,"227 vs 242",0.99,"266 vs 248",1
"119","MITF",8.6646,"NA","84 vs 65","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"5 vs 5",1.04,"-",NA,"-",NA,"51 vs 30",8.38,"28 vs 30",1,"-",NA
"120","RIPOR2",8.6214,"NA","1340 vs 1225","-",NA,"-",NA,"4 vs 2",0.98,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"37 vs 20",8.22,"41 vs 22",1,"-",NA,"75 vs 64",1.09,"444 vs 415",0.99,"739 vs 702",0.99
"121","SF3B3",8.5935,"NA","253 vs 258","1 vs 0",1.38,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 5",3.65,"-",NA,"-",NA,"21 vs 13",1.7,"-",NA,"-",NA,"27 vs 20",1.01,"191 vs 220",1,"-",NA
"122","WDR70",8.5831,"NA","59 vs 45","-",NA,"-",NA,"2 vs 0",2.1,"-",NA,"-",NA,"-",NA,"3 vs 2",1.1,"-",NA,"-",NA,"33 vs 31",1.71,"-",NA,"-",NA,"21 vs 12",2.16,"-",NA,"-",NA
"123","TSPOAP1",8.5677,"4","2300 vs 2205","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.19,"-",NA,"-",NA,"287 vs 223",7.12,"273 vs 294",0.99,"1736 vs 1687",0.99
"124","USH2A",8.5422,"4","5912 vs 5965","-",NA,"-",NA,"-",NA,"-",NA,"16 vs 15",0.91,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"918 vs 854",10.2,"1314 vs 1280",0.97,"3664 vs 3816",0.95
"125","DLC1",8.5348,"NA","968 vs 874","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"261 vs 230",5.9,"259 vs 213",1,"447 vs 431",1
"126","SDK1",8.5161,NA,"1702 vs 1824","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 5",0.83,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"479 vs 455",10.57,"628 vs 706",0.99,"595 vs 658",0.99
"127","INSRR",8.4319,"NA","324 vs 270","-",NA,"-",NA,"-",NA,"-",NA,"5 vs 3",1.07,"-",NA,"-",NA,"-",NA,"-",NA,"59 vs 53",2.2,"30 vs 28",1,"-",NA,"176 vs 138",3.6,"54 vs 48",1,"-",NA
"128","CARMIL2",8.3847,"NA","1202 vs 1177","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",1.04,"-",NA,"6 vs 5",1.1,"-",NA,"-",NA,"9 vs 6",1.13,"-",NA,"157 vs 173",0.95,"148 vs 102",6.95,"361 vs 397",0.99,"519 vs 493",0.99
"129","CRACR2A",8.3731,"NA","534 vs 495","-",NA,"-",NA,"-",NA,"-",NA,"9 vs 3",1.45,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"78 vs 57",5.76,"160 vs 136",1.01,"287 vs 299",1
"130","PDZRN4",8.3186,"NA","247 vs 220","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"3 vs 1",1.38,"-",NA,"-",NA,"11 vs 3",2.43,"3 vs 4",1,"-",NA,"111 vs 93",2.49,"85 vs 70",1,"33 vs 48",1
"131","AC005324.3",8.3013,"NA","111 vs 96","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"8 vs 2",2.7,"-",NA,"-",NA,"13 vs 14",0.98,"14 vs 23",1,"-",NA,"38 vs 19",3.16,"38 vs 38",1,"-",NA
"132","JADE1",8.2476,"NA","492 vs 458","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"23 vs 8",4.38,"10 vs 16",1,"-",NA,"47 vs 30",1.55,"411 vs 404",1,"-",NA
"133","HGS",8.2289,"NA","174 vs 160","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.93,"-",NA,"11 vs 4",2.76,"-",NA,"-",NA,"4 vs 3",1.1,"-",NA,"-",NA,"66 vs 53",2.93,"93 vs 98",1,"-",NA
"134","PHLPP2",8.2157,"NA","499 vs 499","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 3",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"185 vs 147",8.63,"116 vs 121",1,"196 vs 228",1
"135","LTBP1",8.1694,"NA","1774 vs 1627","-",NA,"-",NA,"3 vs 1",1.68,"-",NA,"-",NA,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"3 vs 0",1.36,"-",NA,"-",NA,"239 vs 197",3.01,"511 vs 506",0.99,"1017 vs 923",0.98
"136","PPWD1",8.0981,"NA","66 vs 45","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"7 vs 2",1.73,"-",NA,"-",NA,"59 vs 43",4.69,"-",NA,"-",NA
"137","RARA",8.0176,"NA","58 vs 35","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"13 vs 4",3.7,"-",NA,"-",NA,"6 vs 4",1.08,"-",NA,"-",NA,"14 vs 11",1.39,"24 vs 16",1,"-",NA
"138","KRT83",7.9791,"NA","569 vs 524","-",NA,"-",NA,"-",NA,"-",NA,"150 vs 107",1.14,"231 vs 241",1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"80 vs 58",7.05,"108 vs 118",1,"-",NA
"139","SLC45A2",7.9312,"NA","106 vs 63","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"103 vs 62",7.21,"-",NA,"-",NA
"140","ACOX3",7.9171,"NA","998 vs 1001","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 7",0.8,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"133 vs 93",10.08,"28 vs 29",1,"835 vs 872",0.99
"141","SLC25A46",7.902,"NA","177 vs 138","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"64 vs 39",7.93,"113 vs 99",1,"-",NA
"142","ZNF81",7.8937,"NA","293 vs 314","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"42 vs 17",7.96,"198 vs 242",1,"53 vs 55",1
"143","DPEP3",7.8703,"NA","327 vs 284","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 4",0.92,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",0.98,"16 vs 10",1,"-",NA,"92 vs 56",8.77,"214 vs 212",1,"-",NA
"144","PI4KA",7.8664,"NA","321 vs 312","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 4",0.96,"-",NA,"14 vs 3",9.65,"-",NA,"-",NA,"27 vs 25",0.71,"-",NA,"-",NA,"109 vs 96",1.21,"-",NA,"168 vs 184",1
"145","CRTC2",7.8266,"NA","106 vs 85","0 vs 1",0.62,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"81 vs 62",12.61,"25 vs 22",1,"-",NA
"146","CDKN1C",7.8224,"NA","21 vs 9","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 1",6.28,"-",NA,"-",NA,"11 vs 8",1.25,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA
"147","SH2D3C",7.7436,"NA","502 vs 483","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 3",0.9,"-",NA,"-",NA,"-",NA,"-",NA,"47 vs 27",7.88,"34 vs 35",1,"-",NA,"47 vs 45",1.1,"5 vs 16",1,"368 vs 357",1
"148","IVNS1ABP",7.6845,"NA","74 vs 42","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"22 vs 12",2.57,"-",NA,"-",NA,"52 vs 30",2.99,"-",NA,"-",NA
"149","RETSAT",7.6795,"NA","774 vs 756","-",NA,"-",NA,"-",NA,"-",NA,"25 vs 20",1.13,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"88 vs 69",6.87,"234 vs 247",1,"427 vs 420",0.99
"150","SPTLC1",7.6709,"NA","408 vs 359","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 0",1.12,"-",NA,"-",NA,"-",NA,"-",NA,"25 vs 17",1.61,"-",NA,"-",NA,"36 vs 26",4.28,"-",NA,"344 vs 316",1
"151","KRT72",7.6561,"NA","1545 vs 1507","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 3",0.94,"-",NA,"0 vs 0",1,"-",NA,"406 vs 371",1,"6 vs 5",0.93,"32 vs 33",1,"-",NA,"129 vs 112",8.9,"274 vs 285",1,"696 vs 698",1
"152","SMARCAL1",7.6232,"NA","866 vs 833","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 4",0.75,"-",NA,"-",NA,"93 vs 72",10.25,"76 vs 81",1,"696 vs 675",0.99
"153","FUT7",7.5944,"NA","572 vs 512","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"27 vs 14",3.7,"-",NA,"-",NA,"78 vs 60",1.43,"43 vs 38",1,"423 vs 400",0.99
"154","NCKAP5",7.5687,"4","1115 vs 1118","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"332 vs 272",5.31,"388 vs 401",0.99,"394 vs 445",0.99
"155","LAMB3",7.5418,"NA","721 vs 686","-",NA,"-",NA,"-",NA,"-",NA,"13 vs 9",1.12,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"322 vs 284",6.81,"170 vs 165",1,"216 vs 228",1
"156","DENND1A",7.5412,"NA","310 vs 281","-",NA,"-",NA,"2 vs 0",2.1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"23 vs 15",2.08,"59 vs 63",1,"-",NA,"84 vs 69",1.73,"142 vs 134",1,"-",NA
"157","KCNH5",7.5249,"NA","109 vs 85","-",NA,"-",NA,"1 vs 1",0.68,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"49 vs 32",4.65,"18 vs 25",1,"-",NA,"41 vs 27",2.37,"-",NA,"-",NA
"158","HGF",7.5242,"NA","929 vs 870","-",NA,"-",NA,"3 vs 0",3.05,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"31 vs 21",2.93,"25 vs 31",1,"-",NA,"12 vs 18",0.85,"3 vs 4",1,"855 vs 796",1
"159","CA8",7.4902,"NA","45 vs 29","-",NA,"-",NA,"2 vs 0",2.1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"7 vs 1",1.78,"-",NA,"-",NA,"19 vs 10",2.01,"17 vs 18",1,"-",NA
"160","OTUD4",7.4536,"NA","741 vs 686","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",1.09,"-",NA,"-",NA,"95 vs 69",6.92,"103 vs 92",1,"541 vs 524",1
"161","PLS1",7.4315,"NA","233 vs 182","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"77 vs 57",7.75,"155 vs 123",1,"-",NA
"162","FUT1",7.4172,"NA","56 vs 31","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"37 vs 17",5.95,"-",NA,"-",NA,"18 vs 14",1.2,"-",NA,"-",NA
"163","ARHGEF1",7.3911,"NA","167 vs 130","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 12",0.86,"-",NA,"-",NA,"41 vs 22",3.41,"24 vs 27",1,"-",NA,"49 vs 37",2.52,"40 vs 32",1,"-",NA
"164","OR1J2",7.3892,"NA","140 vs 95","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"74 vs 39",7.4,"66 vs 56",1,"-",NA
"165","ZBTB3",7.3886,"NA","134 vs 106","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 1",2.8,"-",NA,"-",NA,"36 vs 21",2.64,"88 vs 84",1,"-",NA
"166","ZNF282",7.3406,"NA","152 vs 167","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"8 vs 1",3.61,"-",NA,"-",NA,"11 vs 7",1.68,"-",NA,"-",NA,"31 vs 28",1.21,"102 vs 131",1,"-",NA
"167","ACTR3C",7.3304,"NA","663 vs 649","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",1,"33 vs 23",1,"-",NA,"18 vs 15",1.07,"36 vs 47",1,"-",NA,"25 vs 9",6.9,"51 vs 54",1,"497 vs 498",1
"168","HRH3",7.2681,"NA","44 vs 22","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"14 vs 12",0.83,"-",NA,"-",NA,"29 vs 10",7.21,"-",NA,"-",NA
"169","CTTNBP2",7.1633,"3","924 vs 852","-",NA,"-",NA,"-",NA,"-",NA,"5 vs 4",1.01,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"216 vs 182",7.18,"204 vs 172",1,"499 vs 494",1
"170","KYAT1",7.1553,"NA","163 vs 132","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 3",0.94,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"74 vs 48",7.64,"87 vs 81",1,"-",NA
"171","TTF2",7.132,"NA","1195 vs 1162","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 5",0.9,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"168 vs 143",7.92,"515 vs 485",1.01,"509 vs 529",0.99
"172","QARS",7.1017,"NA","810 vs 747","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",1.02,"-",NA,"-",NA,"-",NA,"-",NA,"47 vs 22",13.28,"36 vs 33",1,"-",NA,"60 vs 60",0.53,"33 vs 26",1,"631 vs 603",1
"173","SURF6",7.0727,"NA","395 vs 313","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"24 vs 18",1.14,"-",NA,"-",NA,"45 vs 21",5.96,"137 vs 109",1,"188 vs 165",1
"174","CDC37",7.0553,"NA","89 vs 66","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"31 vs 16",5.56,"39 vs 32",1,"-",NA,"18 vs 18",0.87,"-",NA,"-",NA
"175","ADCY4",7.0041,"NA","405 vs 385","-",NA,"-",NA,"-",NA,"-",NA,"11 vs 7",1.02,"-",NA,"-",NA,"-",NA,"-",NA,"49 vs 34",6.88,"47 vs 54",1,"-",NA,"103 vs 90",1,"75 vs 95",1,"120 vs 105",1
"176","CUX2",6.9743,"4","671 vs 637","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"50 vs 37",1.55,"-",NA,"-",NA,"103 vs 73",3.72,"42 vs 44",1,"475 vs 483",0.99
"177","GOT1L1",6.9374,"NA","467 vs 458","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 8",1.03,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"78 vs 54",6.78,"-",NA,"382 vs 396",1
"178","MRPS2",6.9305,"NA","523 vs 488","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.9,"-",NA,"-",NA,"64 vs 49",7.46,"69 vs 59",1,"389 vs 379",0.99
"179","DHX29",6.9238,"NA","207 vs 198","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",1,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 6",0.78,"-",NA,"-",NA,"125 vs 95",8.98,"78 vs 95",1,"-",NA
"180","TEFM",6.9123,"NA","84 vs 57","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 0",1.14,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"53 vs 34",6.05,"28 vs 23",1,"-",NA
"181","ZNF441",6.875,"NA","257 vs 251","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"46 vs 25",8.75,"-",NA,"-",NA,"63 vs 58",0.76,"147 vs 168",1,"-",NA
"182","ROR2",6.8669,"NA","455 vs 418","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",0.95,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"186 vs 155",7.32,"266 vs 260",0.99,"-",NA
"183","HMGCS1",6.8665,"NA","45 vs 35","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 2",6.54,"-",NA,"-",NA,"6 vs 9",0.75,"-",NA,"-",NA,"22 vs 10",1.41,"8 vs 14",1,"-",NA
"184","RSRC1",6.8656,"NA","89 vs 60","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.08,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"58 vs 37",6.38,"29 vs 23",1,"-",NA
"185","TNFRSF1B",6.7309,"NA","522 vs 462","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"8 vs 6",1.02,"-",NA,"-",NA,"51 vs 31",4.56,"43 vs 35",1,"419 vs 390",1
"186","PLXNB1",6.7052,"3","766 vs 684","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"66 vs 46",3.03,"-",NA,"-",NA,"166 vs 148",1.52,"286 vs 279",1.01,"247 vs 211",1
"187","FAM45A",6.6674,"NA","72 vs 50","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 0",1.14,"-",NA,"4 vs 4",0.73,"-",NA,"-",NA,"16 vs 5",7.14,"-",NA,"-",NA,"22 vs 18",1.12,"27 vs 23",1,"-",NA
"188","FLNB",6.6345,"NA","1154 vs 1157","-",NA,"-",NA,"-",NA,"-",NA,"8 vs 1",1.26,"-",NA,"4 vs 3",0.95,"-",NA,"-",NA,"43 vs 32",2.58,"-",NA,"-",NA,"463 vs 430",2.18,"636 vs 691",0.99,"-",NA
"189","SDHB",6.6287,"NA","210 vs 200","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"44 vs 30",6.91,"27 vs 17",1,"139 vs 152",1
"190","BCL2L14",6.621,"NA","581 vs 597","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"31 vs 25",6.68,"43 vs 44",1,"507 vs 528",0.99
"191","ZNF92",6.5663,"NA","103 vs 83","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"48 vs 18",6.35,"54 vs 65",1,"-",NA
"192","PICK1",6.517,"NA","52 vs 28","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"4 vs 2",1.17,"-",NA,"-",NA,"12 vs 7",1.3,"-",NA,"-",NA,"22 vs 7",4.28,"14 vs 12",1,"-",NA
"193","ACACA",6.4993,"NA","128 vs 119","2 vs 0",1.9,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"32 vs 24",4.48,"-",NA,"-",NA,"57 vs 50",1.01,"21 vs 26",1,"-",NA,"16 vs 19",0.76,"-",NA,"-",NA
