"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"3707","DNAH6",1.0969,"NA","3082 vs 3122","-",NA,"-",NA,"16 vs 13",1.01,"-",NA,"-",NA,"3066 vs 3109",1.08
"3708","OPN1SW",1.0968,"NA","52 vs 59","-",NA,"-",NA,"3 vs 1",1.06,"-",NA,"-",NA,"49 vs 58",1.04
"3709","PRSS22",1.0968,"NA","40 vs 37","-",NA,"-",NA,"0 vs 0",1,"-",NA,"24 vs 22",1.12,"16 vs 15",0.98
"3710","LIX1",1.0966,"NA","107 vs 108","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"1 vs 0",1.05,"106 vs 107",1.06
"3711","UCHL5",1.0966,"NA","23 vs 26","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.1,"20 vs 25",0.99
"3712","BANK1",1.0965,"NA","522 vs 498","-",NA,"-",NA,"4 vs 0",1.09,"-",NA,"-",NA,"518 vs 498",1.01
"3713","SLC30A6",1.0965,"NA","44 vs 43","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"44 vs 43",1.1
"3714","ANKRD26",1.0964,"NA","1152 vs 1111","-",NA,"-",NA,"7 vs 1",1.11,"-",NA,"-",NA,"1145 vs 1110",0.98
"3715","CRBN",1.0964,"NA","82 vs 82","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"80 vs 82",1.05
"3716","B4GALT4",1.0964,"NA","126 vs 123","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"8 vs 4",1.11,"117 vs 119",0.97
"3717","KCNF1",1.0964,"NA","24 vs 20","-",NA,"-",NA,"1 vs 1",1,"3 vs 2",1.03,"19 vs 17",1.06,"1 vs 0",1.01
"3718","SLC48A1",1.0962,"NA","10 vs 10","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 2",1.11,"6 vs 8",0.98
"3719","TRAIP",1.0961,"NA","60 vs 71","-",NA,"-",NA,"-",NA,"-",NA,"24 vs 15",1.19,"36 vs 56",0.92
"3720","CCDC81",1.0961,"NA","1196 vs 1161","-",NA,"-",NA,"4 vs 2",1.06,"-",NA,"-",NA,"1192 vs 1159",1.04
"3721","PCDH9",1.0961,"4","270 vs 270","-",NA,"-",NA,"-",NA,"-",NA,"36 vs 23",1.18,"234 vs 247",0.93
