"","Gene","BF","BF_filtered","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"16665","MAP3K21",0.4462,0.6074,"NA","394 vs 417","-",NA,"-",NA,"1 vs 5",0.95,"42 vs 36",0.73,"53 vs 54",0.75,"298 vs 322",0.86
"15598","NELFA",0.6611,0.6072,"NA","56 vs 84","-",NA,"-",NA,"0 vs 1",0.98,"1 vs 3",0.65,"7 vs 5",1.09,"48 vs 75",0.95
"15796","INPP5K",0.6306,0.6072,"NA","116 vs 114","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"4 vs 12",0.61,"111 vs 102",1.02
"15719","SLC12A7",0.6457,0.6071,"NA","613 vs 664","-",NA,"-",NA,"3 vs 0",1.06,"-",NA,"55 vs 63",0.68,"555 vs 601",0.89
"15939","KCNJ4",0.6068,0.6068,"NA","10 vs 12","-",NA,"-",NA,"-",NA,"3 vs 4",0.68,"7 vs 8",0.89,"-",NA
"15751","CPXM1",0.6397,0.6061,"NA","314 vs 323","-",NA,"-",NA,"4 vs 2",1.06,"-",NA,"167 vs 174",0.68,"143 vs 147",0.89
"15868","SLC12A9",0.6182,0.6059,"NA","222 vs 230","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"88 vs 92",0.66,"132 vs 137",0.92
"15946","SPTBN2",0.6056,0.6056,"NA","676 vs 694","-",NA,"-",NA,"-",NA,"5 vs 2",1.52,"162 vs 173",0.38,"509 vs 519",1.05
"15948","NXNL1",0.6056,0.6056,"NA","278 vs 299","-",NA,"-",NA,"-",NA,"-",NA,"106 vs 121",0.64,"172 vs 178",0.95
"15691","ERLIN2",0.6501,0.6052,"NA","12 vs 16","-",NA,"-",NA,"0 vs 1",0.98,"3 vs 4",0.64,"4 vs 2",1.07,"5 vs 9",0.97
"15950","NFATC1",0.6051,0.6051,"NA","260 vs 297","-",NA,"-",NA,"-",NA,"3 vs 4",0.76,"18 vs 19",0.96,"239 vs 274",0.83
"15951","FAM50B",0.6051,0.6051,"NA","137 vs 159","-",NA,"-",NA,"-",NA,"0 vs 3",0.48,"19 vs 11",1.25,"118 vs 145",1
"15873","PACSIN2",0.6174,0.6048,"NA","229 vs 241","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"47 vs 55",0.67,"181 vs 186",0.9
"15990","FBXL16",0.5995,0.6044,"NA","8 vs 14","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"3 vs 3",0.99,"5 vs 9",0.98
