"","Gene","BF","BF_filtered","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"156","CCAR1",3.4416,3.3087,"NA","75 vs 51","1 vs 0",1.58,"-",NA,"-",NA,"7 vs 4",1.52,"14 vs 7",1.38,"53 vs 40",1.04
"175","LONRF2",3.2912,3.2912,"NA","183 vs 183","-",NA,"2 vs 0",2.61,"-",NA,"-",NA,"14 vs 8",1.28,"167 vs 175",0.98
"181","SMARCD2",3.2465,3.291,"NA","42 vs 29","-",NA,"1 vs 0",1.59,"-",NA,"2 vs 0",1.48,"19 vs 12",1.4,"20 vs 17",0.99
"183","STAT5B",3.229,3.2821,"NA","49 vs 34","-",NA,"-",NA,"-",NA,"10 vs 4",2.59,"31 vs 22",1.27,"8 vs 8",0.98
"182","GRHL1",3.2407,3.2789,"NA","68 vs 47","-",NA,"-",NA,"-",NA,"-",NA,"23 vs 10",3.28,"45 vs 37",0.99
"190","MEF2C",3.18,3.2768,"4","14 vs 8","-",NA,"-",NA,"-",NA,"9 vs 2",3.31,"2 vs 2",0.97,"3 vs 4",0.99
"75","KIAA1109",4.762,3.2612,"NA","2656 vs 2546","-",NA,"-",NA,"12 vs 4",1.18,"4 vs 0",2.18,"666 vs 700",1.46,"1974 vs 1842",1.27
"135","CLCNKB",3.6445,3.2497,"NA","486 vs 478","-",NA,"-",NA,"8 vs 2",1.2,"6 vs 6",1.12,"32 vs 18",2.47,"440 vs 452",1.09
"173","OVOL2",3.3113,3.2438,"NA","121 vs 106","-",NA,"-",NA,"1 vs 0",1.02,"1 vs 0",1.21,"8 vs 9",0.83,"111 vs 97",3.22
"176","MKNK2",3.2849,3.2138,"NA","403 vs 327","-",NA,"-",NA,"2 vs 0",1.04,"8 vs 2",2.65,"6 vs 2",1.21,"387 vs 323",0.98
"262","NSD1",2.6962,3.2099,NA,"2454 vs 2345","-",NA,"-",NA,"-",NA,"6 vs 0",3.35,"6 vs 7",0.96,"2442 vs 2338",0.84
"184","SLC4A8",3.2204,3.2001,"NA","49 vs 35","-",NA,"-",NA,"-",NA,"5 vs 1",2.17,"20 vs 11",1.48,"24 vs 23",1.01
"189","CSNK1E",3.1848,3.1848,"4","30 vs 31","-",NA,"1 vs 0",1.59,"-",NA,"5 vs 0",2.64,"18 vs 21",0.77,"6 vs 10",0.98
"201","SMARCA2",3.0811,3.1807,NA,"112 vs 88","1 vs 0",1.58,"-",NA,"-",NA,"9 vs 5",2.01,"14 vs 14",0.96,"88 vs 69",1.01
"180","BTG4",3.2466,3.1805,"NA","29 vs 6","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"28 vs 6",3.18
"250","UNC13A",2.7546,3.1627,"4","234 vs 222","0 vs 1",0.42,"-",NA,"-",NA,"13 vs 2",7.72,"116 vs 99",0.87,"105 vs 120",0.98
"191","DOCK4",3.1585,3.1585,"4","1510 vs 1511","0 vs 1",0.42,"-",NA,"-",NA,"-",NA,"52 vs 30",7.64,"1458 vs 1480",0.99
"192","MRPS25",3.1577,3.1577,"NA","18 vs 18","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"7 vs 2",1.3,"9 vs 16",0.96
"667","KDM2B",1.8806,3.1443,"NA","232 vs 224","2 vs 0",2.57,"-",NA,"-",NA,"1 vs 0",1.21,"169 vs 159",0.6,"60 vs 65",1.01
"187","HBQ1",3.2084,3.143,"NA","157 vs 141","-",NA,"-",NA,"3 vs 2",0.99,"7 vs 4",1.03,"34 vs 18",3.16,"113 vs 117",0.99
"194","EHD4",3.1174,3.139,"NA","91 vs 64","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"44 vs 21",3.14,"46 vs 43",0.97
"202","SF3A1",3.0768,3.1375,"NA","40 vs 36","-",NA,"1 vs 0",1.59,"-",NA,"6 vs 1",2.45,"7 vs 15",0.8,"26 vs 20",0.98
"253","PLEKHH3",2.7313,3.1343,"NA","183 vs 191","-",NA,"-",NA,"1 vs 1",1,"5 vs 0",3.4,"22 vs 22",0.87,"155 vs 168",0.92
"185","MYORG",3.2185,3.1137,"NA","2852 vs 2819","-",NA,"-",NA,"2446 vs 2461",1.07,"-",NA,"42 vs 21",2.92,"364 vs 337",1.03
"195","UBR3",3.1133,3.1133,"NA","414 vs 459","1 vs 0",1.58,"-",NA,"-",NA,"8 vs 5",1.32,"50 vs 41",1.48,"355 vs 413",1.01
"199","MFAP4",3.088,3.088,"NA","41 vs 28","-",NA,"1 vs 0",1.59,"-",NA,"-",NA,"25 vs 9",1.94,"15 vs 19",1
"178","PTPRJ",3.2747,3.0814,"NA","564 vs 504","-",NA,"-",NA,"5 vs 2",1.06,"-",NA,"1 vs 2",0.95,"558 vs 500",3.26
"188","FUT1",3.203,3.0711,"NA","56 vs 31","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"37 vs 17",3.07,"18 vs 14",1.02
"198","PRDM12",3.0977,3.0685,"NA","19 vs 8","-",NA,"-",NA,"-",NA,"4 vs 0",2.47,"9 vs 4",1.24,"6 vs 4",1.01
"196","ZNF317",3.1096,3.0668,"NA","220 vs 199","-",NA,"-",NA,"2 vs 2",1.01,"-",NA,"53 vs 27",3.18,"165 vs 170",0.96
"166","POU2F2",3.3527,3.049,"NA","37 vs 20","-",NA,"-",NA,"-",NA,"10 vs 3",3.05,"4 vs 3",1.04,"23 vs 14",1.06
"197","SH2D3C",3.1041,3.0449,"NA","502 vs 483","-",NA,"-",NA,"1 vs 3",0.94,"-",NA,"81 vs 62",3.22,"420 vs 418",1.02
"174","PPM1N",3.3078,3.0379,"NA","202 vs 170","-",NA,"-",NA,"-",NA,"90 vs 62",3.07,"104 vs 97",1.09,"8 vs 11",0.99
"203","VASH2",3.0715,3.0299,"NA","511 vs 472","-",NA,"2 vs 0",2.61,"-",NA,"-",NA,"4 vs 1",1.16,"505 vs 471",1.01
"179","LARP4",3.2662,3.0174,"NA","1072 vs 944","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"3 vs 1",1.19,"1067 vs 943",1.08
"343","TCF7L2",2.4596,3.0128,"3","153 vs 142","-",NA,"2 vs 0",2.61,"-",NA,"5 vs 5",0.81,"3 vs 2",1.15,"143 vs 135",1
"222","BBS5",2.9121,2.9917,"NA","247 vs 219","-",NA,"-",NA,"1 vs 1",1,"-",NA,"122 vs 94",2.99,"124 vs 124",0.97
"177","TMEM178A",3.2788,2.9831,"NA","23 vs 11","-",NA,"1 vs 0",1.59,"-",NA,"3 vs 0",1.87,"6 vs 4",1.06,"13 vs 7",1.04
"214","WDTC1",2.9721,2.9721,"NA","63 vs 49","-",NA,"-",NA,"-",NA,"12 vs 7",1.78,"46 vs 36",1.67,"5 vs 6",1
"215","PAPOLA",2.9711,2.9711,"NA","35 vs 28","-",NA,"-",NA,"-",NA,"10 vs 3",2.72,"11 vs 7",1.11,"14 vs 18",0.98
"592","GRIA1",1.9757,2.9608,"2","70 vs 82","3 vs 0",4.06,"-",NA,"-",NA,"8 vs 8",0.67,"10 vs 17",0.75,"49 vs 57",0.97
"217","ABHD2",2.9467,2.9458,"NA","37 vs 31","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"5 vs 2",1.16,"30 vs 29",1
"994","PLXNA1",1.6146,2.9451,"NA","280 vs 270","0 vs 2",0.18,"-",NA,"-",NA,"54 vs 31",20.15,"78 vs 78",0.55,"148 vs 159",0.83
"219","NCKAP1L",2.9411,2.9411,"NA","168 vs 177","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"31 vs 32",0.74,"134 vs 145",0.98
"220","ADAMTS6",2.9409,2.9409,"NA","205 vs 228","2 vs 0",2.5,"-",NA,"-",NA,"-",NA,"129 vs 124",1.28,"74 vs 104",0.92
"225","LDHC",2.9055,2.9055,"NA","138 vs 111","-",NA,"-",NA,"0 vs 3",0.95,"-",NA,"-",NA,"138 vs 108",3.05
"226","AKAP1",2.9052,2.9052,"NA","650 vs 619","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"0 vs 3",0.87,"648 vs 616",1.31
"227","CHID1",2.9034,2.9034,"NA","56 vs 33","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 3",0.92,"54 vs 30",3.16
"228","ADIPOQ",2.8994,2.8994,"NA","500 vs 461","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"-",NA,"500 vs 460",2.96
"229","UBXN4",2.8981,2.8981,"NA","73 vs 74","-",NA,"2 vs 0",2.61,"-",NA,"-",NA,"5 vs 3",1.13,"66 vs 71",0.99
"212","RLIM",2.9917,2.8877,NA,"36 vs 26","-",NA,"2 vs 0",2.61,"-",NA,"-",NA,"2 vs 0",1.11,"32 vs 26",1.04
"304","ARHGAP21",2.5576,2.8866,"NA","548 vs 538","2 vs 0",2.57,"-",NA,"-",NA,"5 vs 3",1.28,"216 vs 217",0.88,"325 vs 318",0.89
"243","GABRG2",2.7849,2.8822,"NA","37 vs 26","-",NA,"2 vs 0",2.54,"-",NA,"6 vs 4",1.13,"18 vs 15",0.94,"11 vs 7",1.03
"231","TRAPPC6B",2.8726,2.8818,NA,"31 vs 18","-",NA,"-",NA,"1 vs 2",0.98,"-",NA,"9 vs 1",2.94,"21 vs 15",1
"205","DCAF15",3.0679,2.8793,"NA","67 vs 44","-",NA,"-",NA,"-",NA,"9 vs 4",2.42,"7 vs 5",1.07,"51 vs 35",1.19
"209","PHYHIP",3.0076,2.8678,"NA","19 vs 10","-",NA,"-",NA,"-",NA,"9 vs 3",2.87,"10 vs 7",1.05,"-",NA
"221","ATP8A2",2.9238,2.8643,"NA","238 vs 216","-",NA,"-",NA,"1 vs 0",1.02,"3 vs 0",2.04,"46 vs 27",1.5,"188 vs 189",0.94
"233","KCNQ3",2.8624,2.8624,"3","190 vs 198","-",NA,"-",NA,"-",NA,"7 vs 1",3.2,"8 vs 11",0.91,"175 vs 186",0.98
"674","PHC1",1.8769,2.8616,"NA","338 vs 334","-",NA,"-",NA,"-",NA,"6 vs 1",2.87,"175 vs 166",0.66,"157 vs 167",1
"714","SMG1",1.8297,2.8496,"NA","1027 vs 949","1 vs 1",0.66,"-",NA,"-",NA,"5 vs 2",1.82,"384 vs 342",1.57,"637 vs 604",0.97
"234","SPDYE3",2.8585,2.849,"NA","122 vs 113","-",NA,"4 vs 1",2.69,"-",NA,"10 vs 8",1.35,"17 vs 20",0.78,"91 vs 84",1
"237","LRP8",2.8479,2.8479,"NA","104 vs 102","-",NA,"-",NA,"-",NA,"8 vs 1",3.88,"40 vs 43",0.7,"56 vs 58",1.05
"218","MFAP2",2.9435,2.8443,"NA","59 vs 54","-",NA,"-",NA,"0 vs 2",0.96,"-",NA,"18 vs 14",2.97,"41 vs 38",1.03
"261","ZNF777",2.7094,2.8394,"NA","153 vs 140","-",NA,"-",NA,"-",NA,"4 vs 0",2.47,"41 vs 39",0.95,"108 vs 101",1.15
"224","DRP2",2.9105,2.8209,"NA","155 vs 102","-",NA,"-",NA,"7 vs 5",0.97,"-",NA,"32 vs 16",2.82,"116 vs 81",1.06
"240","ZNF304",2.816,2.816,"NA","754 vs 791","-",NA,"2 vs 0",2.61,"-",NA,"-",NA,"7 vs 5",1.15,"745 vs 786",0.94
"193","DBP",3.1504,2.7989,"NA","71 vs 83","-",NA,"-",NA,"-",NA,"4 vs 0",2.8,"63 vs 78",1.13,"4 vs 5",1
"245","PAPSS1",2.7772,2.7988,"NA","429 vs 407","-",NA,"-",NA,"12 vs 8",0.99,"-",NA,"74 vs 43",2.79,"343 vs 356",1
"433","NDFIP2",2.2346,2.7956,"NA","78 vs 64","-",NA,"1 vs 0",1.59,"-",NA,"5 vs 4",0.81,"29 vs 17",1.75,"43 vs 43",0.99
"255","STK11",2.7265,2.7897,"NA","105 vs 94","-",NA,"-",NA,"-",NA,"4 vs 0",2.18,"6 vs 1",1.28,"95 vs 93",0.98
"274","CENPE",2.6486,2.789,"NA","916 vs 877","-",NA,"4 vs 1",2.81,"-",NA,"2 vs 0",1.48,"11 vs 25",0.67,"899 vs 851",0.95
"244","AC005324.3",2.7801,2.7801,"NA","111 vs 96","-",NA,"-",NA,"-",NA,"8 vs 2",2.65,"27 vs 37",0.93,"76 vs 57",1.12
"235","TBC1D9",2.8568,2.7787,"NA","397 vs 335","-",NA,"1 vs 0",1.59,"-",NA,"-",NA,"53 vs 41",1.74,"343 vs 294",1.03
"246","HMBS",2.7699,2.7699,"NA","72 vs 60","-",NA,"-",NA,"-",NA,"-",NA,"33 vs 17",2.88,"39 vs 43",0.96
"270","HSD17B1",2.6682,2.7613,"NA","166 vs 150","-",NA,"-",NA,"2 vs 1",1.03,"-",NA,"27 vs 14",2.76,"137 vs 135",0.93
"247","WDR48",2.7578,2.7578,"NA","81 vs 60","-",NA,"-",NA,"-",NA,"4 vs 0",2.27,"68 vs 44",1.26,"9 vs 16",0.97
"362","NNT",2.4238,2.7572,"NA","1534 vs 1460","2 vs 0",2.5,"-",NA,"-",NA,"-",NA,"3 vs 1",1.1,"1529 vs 1459",0.88
"314","ATAD2B",2.5423,2.7518,"NA","691 vs 672","1 vs 0",1.58,"-",NA,"-",NA,"-",NA,"37 vs 22",1.74,"653 vs 650",0.92
"263","HIST1H4A",2.6961,2.7412,"NA","21 vs 10","-",NA,"-",NA,"3 vs 2",0.98,"7 vs 3",2.21,"11 vs 5",1.24,"-",NA
"213","CDC26",2.9905,2.7397,"NA","55 vs 36","-",NA,"-",NA,"-",NA,"13 vs 6",2.76,"42 vs 28",1.09,"0 vs 2",0.99
"254","DDHD1",2.7295,2.7295,"NA","213 vs 219","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"28 vs 26",1.14,"183 vs 193",0.94
"134","PDE2A",3.654,2.7227,"NA","107 vs 110","-",NA,"-",NA,"-",NA,"8 vs 2",2.75,"53 vs 60",1.34,"46 vs 48",0.99
"275","HAPLN2",2.6388,2.7136,"NA","42 vs 36","-",NA,"-",NA,"-",NA,"6 vs 0",3.35,"6 vs 9",0.81,"30 vs 27",0.97
"256","GTF3C4",2.7264,2.7116,"NA","227 vs 223","-",NA,"-",NA,"-",NA,"2 vs 2",1.01,"44 vs 22",2.72,"181 vs 199",1
"165","JPH3",3.3809,2.7109,"NA","268 vs 276","-",NA,"-",NA,"-",NA,"2 vs 4",0.62,"37 vs 17",4.37,"229 vs 255",1.25
"216","TUBG2",2.9528,2.7078,"NA","35 vs 25","-",NA,"-",NA,"2 vs 0",1.06,"7 vs 1",3.34,"18 vs 21",0.81,"8 vs 3",1.03
"249","HIRA",2.7557,2.7026,"NA","90 vs 65","-",NA,"-",NA,"-",NA,"4 vs 1",1.78,"49 vs 35",1.51,"37 vs 29",1.02
"238","SNX1",2.8353,2.6949,"NA","334 vs 381","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"1 vs 0",1.05,"331 vs 381",1.06
"810","ESRP2",1.7351,2.6906,"NA","196 vs 166","-",NA,"1 vs 1",0.65,"-",NA,"-",NA,"53 vs 30",2.69,"142 vs 135",1
"1145","KCNH5",1.5549,2.6773,"NA","109 vs 85","-",NA,"1 vs 1",0.58,"-",NA,"-",NA,"67 vs 57",2.42,"41 vs 27",1.11
"268","OR11H12",2.6741,2.6741,"NA","45 vs 30","-",NA,"3 vs 1",1.38,"-",NA,"37 vs 23",2.12,"5 vs 6",0.92,"-",NA
"9345","C1orf35",0.958,2.6722,"NA","603 vs 550","-",NA,"-",NA,"-",NA,"247 vs 227",0.36,"15 vs 4",2.67,"341 vs 319",0.99
"259","KCNQ2",2.7177,2.6683,"3","107 vs 82","1 vs 0",1.58,"-",NA,"-",NA,"4 vs 2",1.32,"40 vs 24",1.28,"62 vs 56",1.02
"302","SOCS3",2.5724,2.6675,"NA","22 vs 7","-",NA,"1 vs 0",1.59,"-",NA,"1 vs 1",0.95,"18 vs 6",1.67,"2 vs 0",1.01
"272","PACS1",2.6628,2.6628,NA,"53 vs 58","-",NA,"-",NA,"-",NA,"7 vs 2",2.51,"21 vs 23",1.08,"25 vs 33",0.98
"376","KBTBD11",2.3771,2.6625,"NA","39 vs 27","-",NA,"-",NA,"-",NA,"20 vs 12",2.66,"19 vs 15",0.89,"-",NA
"252","BTG3",2.7346,2.6622,"NA","37 vs 15","-",NA,"-",NA,"-",NA,"23 vs 12",2.07,"5 vs 0",1.29,"9 vs 3",1.03
"273","XKR4",2.6528,2.6528,"NA","28 vs 25","-",NA,"1 vs 0",1.59,"-",NA,"2 vs 0",1.48,"17 vs 14",1.13,"8 vs 11",1
"265","ADCY4",2.6867,2.65,"NA","405 vs 385","-",NA,"-",NA,"11 vs 7",1.02,"-",NA,"96 vs 88",2.65,"298 vs 290",1
"251","GNAO1",2.7374,2.6465,"NA","33 vs 15","-",NA,"-",NA,"-",NA,"3 vs 0",1.79,"18 vs 9",1.48,"12 vs 6",1.03
"615","FBXL14",1.9415,2.6436,"NA","64 vs 51","-",NA,"-",NA,"-",NA,"5 vs 0",2.64,"59 vs 51",0.73,"-",NA
"276","MATN4",2.6358,2.6358,"NA","360 vs 370","-",NA,"-",NA,"18 vs 19",0.95,"-",NA,"112 vs 77",3.02,"230 vs 274",0.92
"277","PPP6R1",2.6356,2.6356,"NA","548 vs 577","-",NA,"-",NA,"-",NA,"4 vs 0",2.18,"7 vs 1",1.35,"537 vs 576",0.9
"279","GMPS",2.6295,2.6295,"NA","139 vs 143","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"109 vs 130",0.91,"28 vs 13",1.13
"326","SOX13",2.5063,2.6273,"NA","384 vs 382","-",NA,"1 vs 0",1.59,"-",NA,"1 vs 1",0.95,"26 vs 12",1.83,"356 vs 369",0.9
"807","WNT10A",1.7355,2.6213,"NA","528 vs 496","-",NA,"-",NA,"14 vs 10",0.97,"7 vs 2",2.62,"22 vs 22",0.75,"485 vs 462",0.91
"432","SVIL",2.2356,2.6176,"NA","616 vs 576","4 vs 1",2.62,"-",NA,"-",NA,"-",NA,"9 vs 7",1.08,"603 vs 568",0.79
"292","FGD3",2.6024,2.6163,"NA","160 vs 133","-",NA,"-",NA,"2 vs 3",0.99,"1 vs 0",1.21,"14 vs 0",2.17,"143 vs 130",0.99
"475","DIDO1",2.1511,2.6136,"NA","893 vs 864","-",NA,"-",NA,"-",NA,"-",NA,"95 vs 70",2.61,"798 vs 794",0.82
"288","TRMT12",2.6095,2.6095,"NA","237 vs 249","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"0 vs 1",0.95,"235 vs 248",1.08
"266","DDX53",2.6846,2.6089,"4","195 vs 162","-",NA,"2 vs 0",2.61,"-",NA,"-",NA,"-",NA,"193 vs 162",1.03
"308","MBP",2.553,2.6089,"NA","371 vs 363","-",NA,"2 vs 0",2.61,"-",NA,"-",NA,"-",NA,"369 vs 363",0.98
"365","COX10",2.4146,2.6089,"NA","373 vs 337","-",NA,"2 vs 0",2.61,"-",NA,"-",NA,"21 vs 19",0.96,"350 vs 318",0.96
"241","ATG13",2.8005,2.6086,"NA","213 vs 193","-",NA,"1 vs 0",1.59,"-",NA,"27 vs 16",1.73,"35 vs 23",1.07,"150 vs 154",0.94
"290","IGF2R",2.6057,2.6057,"NA","891 vs 921","3 vs 1",1.66,"-",NA,"-",NA,"-",NA,"84 vs 57",1.82,"804 vs 863",0.86
"293","GBP3",2.6001,2.6001,"NA","397 vs 338","-",NA,"-",NA,"22 vs 17",1.92,"-",NA,"-",NA,"375 vs 321",1.35
"294","PURB",2.5998,2.5998,"NA","13 vs 5","-",NA,"-",NA,"-",NA,"5 vs 1",2.17,"8 vs 4",1.2,"-",NA
"211","HGS",3.0022,2.5997,"NA","174 vs 160","-",NA,"-",NA,"0 vs 2",0.96,"11 vs 4",2.71,"4 vs 3",1.07,"159 vs 151",1.08
"283","TRADD",2.6218,2.5972,"NA","42 vs 24","-",NA,"1 vs 0",1.59,"-",NA,"2 vs 0",1.48,"3 vs 1",1.1,"36 vs 23",1.01
"284","JADE1",2.6216,2.5938,"NA","492 vs 458","-",NA,"-",NA,"-",NA,"1 vs 0",1.21,"33 vs 24",2.14,"458 vs 434",1.01
"267","CHD9",2.6818,2.5928,"NA","780 vs 736","1 vs 0",1.58,"-",NA,"-",NA,"-",NA,"54 vs 37",1.64,"725 vs 699",1.03
"257","COPA",2.7219,2.5879,"NA","93 vs 65","1 vs 0",1.58,"-",NA,"-",NA,"5 vs 3",1.14,"26 vs 16",1.43,"61 vs 46",1.05
"295","KLHL2",2.594,2.5763,"NA","25 vs 8","-",NA,"-",NA,"-",NA,"2 vs 0",1.48,"19 vs 6",1.75,"4 vs 2",1.01
"745","NSA2",1.7931,2.5735,"NA","41 vs 42","-",NA,"2 vs 0",2.61,"-",NA,"4 vs 4",0.72,"5 vs 5",0.97,"30 vs 33",0.99
"332","CABLES2",2.4818,2.5721,"NA","376 vs 348","-",NA,"-",NA,"-",NA,"-",NA,"22 vs 4",2.57,"354 vs 344",0.96
"406","RB1CC1",2.293,2.57,"5","297 vs 288","2 vs 0",2.57,"-",NA,"-",NA,"-",NA,"-",NA,"295 vs 288",0.89
"307","KRTAP10-6",2.5533,2.5667,"NA","201 vs 155","-",NA,"-",NA,"2 vs 3",0.95,"-",NA,"87 vs 58",2.7,"112 vs 94",0.99
"207","SCN1A",3.03,2.5491,"3","223 vs 247","-",NA,"-",NA,"-",NA,"13 vs 6",2.81,"96 vs 102",1.19,"114 vs 139",0.91
"282","NEMF",2.6247,2.5486,"NA","94 vs 84","-",NA,"4 vs 1",2.69,"-",NA,"-",NA,"0 vs 1",0.95,"90 vs 82",1.03
"311","FGR",2.5473,2.5473,"NA","41 vs 41","-",NA,"-",NA,"-",NA,"5 vs 2",2.1,"20 vs 14",1.25,"16 vs 25",0.97
"316","PCSK2",2.5348,2.5472,"NA","41 vs 31","-",NA,"-",NA,"-",NA,"8 vs 3",2.14,"15 vs 10",1.19,"18 vs 18",1
"269","EP400",2.6691,2.5468,"3","1658 vs 1448","2 vs 1",1.05,"-",NA,"-",NA,"-",NA,"719 vs 686",1.96,"937 vs 761",1.3
"281","ABCC9",2.6257,2.5459,"NA","264 vs 264","-",NA,"-",NA,"17 vs 9",1.24,"8 vs 3",2.16,"15 vs 13",1.03,"224 vs 239",0.95
"223","KRT1",2.9106,2.5434,"NA","431 vs 376","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"5 vs 4",1.06,"424 vs 372",1.08
"248","ATAD1",2.7565,2.5434,"NA","41 vs 28","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"2 vs 2",0.99,"37 vs 26",1.09
"264","SEL1L3",2.6919,2.5434,"NA","266 vs 250","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"-",NA,"264 vs 250",1.06
"287","MCF2",2.6142,2.5434,"NA","148 vs 109","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"-",NA,"146 vs 109",1.03
"301","CACHD1",2.5763,2.5434,"NA","352 vs 318","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"3 vs 2",1.04,"347 vs 316",0.98
"303","SEC61G",2.5641,2.5434,"NA","5 vs 1","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"1 vs 1",1,"2 vs 0",1.01
"305","CREB3L2",2.556,2.5434,"NA","44 vs 38","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"-",NA,"42 vs 38",1
"310","STT3B",2.5484,2.5434,"NA","32 vs 19","-",NA,"2 vs 0",2.54,"-",NA,"2 vs 2",0.91,"10 vs 9",1,"18 vs 8",1.1
"312","GPR89A",2.5434,2.5434,"NA","2 vs 0","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"-",NA,"-",NA
"313","CNNM1",2.5434,2.5434,"NA","2 vs 0","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"-",NA,"-",NA
"321","VANGL1",2.5121,2.5434,"NA","146 vs 121","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"-",NA,"144 vs 121",0.99
"325","STAM",2.5073,2.5434,"NA","49 vs 45","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"-",NA,"47 vs 45",0.99
"338","TSPYL6",2.4721,2.5434,"NA","492 vs 477","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"-",NA,"490 vs 477",0.97
"360","TMEM132C",2.4255,2.5434,"NA","742 vs 737","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"-",NA,"740 vs 737",0.95
"557","SPECC1L",2.0344,2.5434,"NA","539 vs 521","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"347 vs 342",0.75,"190 vs 179",1.06
"300","CSTF1",2.5773,2.5426,"NA","13 vs 4","-",NA,"-",NA,"-",NA,"4 vs 1",1.78,"7 vs 3",1.42,"2 vs 0",1.01
"880","NGEF",1.6842,2.5417,"NA","139 vs 155","-",NA,"2 vs 0",2.61,"-",NA,"-",NA,"77 vs 76",0.66,"60 vs 79",0.97
"260","FOXJ3",2.7166,2.5407,"NA","105 vs 76","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 2",1.07,"102 vs 74",2.54
"347","RGS6",2.4567,2.5384,"NA","40 vs 49","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"3 vs 3",0.97,"35 vs 46",1
"315","GPC2",2.5353,2.5323,"NA","46 vs 33","-",NA,"-",NA,"2 vs 1",1.01,"3 vs 2",1,"17 vs 4",2.58,"24 vs 26",0.98
"317","ELL",2.53,2.53,"NA","152 vs 153","-",NA,"-",NA,"-",NA,"1 vs 0",1.21,"68 vs 53",2.07,"83 vs 100",1
"382","ABCA1",2.3593,2.5293,"NA","1042 vs 944","-",NA,"-",NA,"1 vs 5",0.92,"4 vs 2",1.34,"61 vs 45",2.05,"976 vs 892",0.93
"480","MARK4",2.1427,2.526,"NA","77 vs 62","-",NA,"-",NA,"-",NA,"2 vs 2",0.85,"46 vs 24",2.57,"29 vs 36",0.98
"319","OGDH",2.5259,2.5259,"NA","233 vs 223","-",NA,"-",NA,"-",NA,"8 vs 5",1.38,"61 vs 42",1.84,"164 vs 176",0.99
"861","CD79A",1.6933,2.5259,"NA","66 vs 66","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"50 vs 45",0.67,"14 vs 21",0.99
"755","PDE4A",1.7796,2.525,"5","133 vs 158","-",NA,"2 vs 0",2.54,"-",NA,"10 vs 8",0.7,"22 vs 26",1.02,"99 vs 124",0.97
"320","ANKRD44",2.5229,2.5229,"NA","748 vs 755","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"-",NA,"746 vs 755",0.99
"280","SREK1",2.6285,2.517,"NA","195 vs 174","-",NA,"-",NA,"-",NA,"5 vs 1",2.17,"4 vs 1",1.16,"186 vs 172",1.04
"299","CYLD",2.5814,2.5048,"NA","38 vs 32","-",NA,"2 vs 1",1.03,"-",NA,"5 vs 1",2.08,"16 vs 11",1.25,"15 vs 19",0.97
"258","TPI1",2.7186,2.5033,"NA","105 vs 86","-",NA,"2 vs 0",2.61,"-",NA,"-",NA,"57 vs 39",1.09,"46 vs 47",0.96
"278","ASTN1",2.6316,2.5032,"NA","258 vs 228","2 vs 0",2.57,"-",NA,"-",NA,"2 vs 4",0.56,"17 vs 9",1.74,"237 vs 215",1.05
"296","KAT2B",2.5901,2.4977,"2","212 vs 200","2 vs 0",2.5,"-",NA,"-",NA,"-",NA,"17 vs 15",0.99,"193 vs 185",1.05
"328","LTBP3",2.4977,2.4977,"NA","2 vs 0","2 vs 0",2.5,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA
"330","ABCD3",2.4846,2.4977,"NA","81 vs 77","2 vs 0",2.5,"-",NA,"-",NA,"-",NA,"5 vs 5",1.01,"74 vs 72",0.98
