"","LoF_pvalue","LoF.Missense_pvalue","fisher_combine_pvalue","LoF_ACAT_pvalue","Missense_ACAT_pvalue"
"ELP3",0.75,0.75,0.965761554338836,0.5,0.98780487804878
"PNOC",1,1,1,NA,0.964285714285714
"ZNF395",1,1,1,NA,0.98780487804878
"FBXO16",0.5,0.5,0.846573590279973,0.833333333333333,0.982142857142857
"FZD3",0.5,0.5,0.846573590279973,0.666666666666667,0.986301369863014
"EXTL3",0.75,0.36328125,0.607283196726199,0.5,0.993377483443709
"INTS9",0.74827766418457,0.74827766418457,0.965264090059308,0.9,0.991071428571429
"HMBOX1",0.75,0.03515625,0.0638269354196655,0.5,0.966666666666667
"KIF13B",0.604736328125,0.604736328125,0.90889616702116,0.916666666666667,0.996923076923077
"DUSP4",1,0.875,0.991839968546457,NA,0.981481481481482
"CSMD1",0.5,0.5,0.846573590279973,0.928571428571429,NA
"LEPROTL1",1,0.875,0.991839968546457,NA,0.95
"MBOAT4",0.8125,0.8125,0.981206983882324,0.666666666666667,NA
"DCTN6",0.899755788967013,0.899755788967013,0.994798700755888,0.5,0.972222222222222
"RBPMS",0.5,0.5,0.846573590279973,0.647583617650433,0.956521739130435
"GTF2E2",0.0625,0.0625,0.235786795139986,0.5,0.972222222222222
"GSR",0.36328125,0.36328125,0.73113183388026,0.875,0.989583333333333
"PPP2CB",1,0.34375,0.501370581294688,1,0.947368421052632
"TEX15",0.6875,0.6875,0.94510174649097,0.75,0.997946611909651
"PURG",1,0.3125,0.675984628064276,NA,0.972972972972973
"WRN",0.5,0.5,0.846573590279972,0.933333333333333,0.9957805907173
"NRG1",0.36328125,0.36328125,0.73113183388026,0.602416382349567,0.992481203007519
"FUT10",0.894980192184448,0.894980192184448,0.994281549301932,0.9,0.989010989010989
"MAK16",1,1,1,NA,0.976190476190476
"TTI2",0.500000000000001,0.500000000000001,0.846573590279973,0.923076923076923,0.988636363636364
"RNF122",0.75,0.75,0.965761554338836,0.75,0.961538461538462
"DUSP26",1,1,1,1,0.976190476190476
"UNC5D",0.8125,0.8125,0.981206983882324,0.8,0.991935483870968
"KCNU1",0.208846095418266,0.208846095418266,0.535932012497751,0.941176470588235,0.994652406417112
"ERLIN2",0.5,0.70947265625,0.779157285699041,0.666666666666667,0.96551724137931
"BRF2",0.91021728515625,0.91021728515625,0.995843184690498,0.857142857142857,0.987341772151899
"RAB11FIP1",0.03125,0.0870855736353634,0.0474092747538392,0.422020869622631,0.995670995670996
"GOT1L1",0.970208055990952,0.970208055990952,0.99955174616932,0.909090909090909,0.985714285714286
"ADRB3",0.29052734375,0.310072382540653,0.393732817391246,0.9,0.986301369863014
"EIF4EBP1",0.75,0.75,0.965761554338836,0.5,0.95
"ASH2L",0.9375,0.9453125,0.985563122897073,0.75,0.980392156862745
"STAR",1,1,1,NA,0.979591836734694
"LSM1",0.875,0.875,0.991839968546457,0.5,0.947368421052632
"BAG4",0.04656982421875,0.04656982421875,0.18939027739693,0.0465698242187501,0.979166666666667
