"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue","LoF_ACAT_pvalue","Missense_ACAT_pvalue"
"MGAT4A",0.5,0.5,0.846573590279973,0.5,0.96
"TSGA10",0.984375,0.984375,0.999877288890512,0.984375,0.982758620689655
"C2orf15",1,1,1,NA,0.464935190004365
"LIPT1",0.632828983485075,0.632828983485075,0.922383088012186,0.666666666666667,0.958333333333333
"MITD1",1,1,1,NA,0.888888888888889
"MRPL30",1,1,1,NA,0.909090909090909
"LYG2",0.942340850830078,0.942340850830078,0.998304808329985,0.75,0.941176470588235
"LYG1",0.5,0.5,0.846573590279973,0.677613377726661,0.928571428571429
"TXNDC9",0.75,0.75,0.965761554338836,0.75,0.5
"EIF5B",1,0.63671875,0.924150940307291,NA,0.978723404255319
"REV1",1,1,1,NA,0.987341772151899
"CMSS1",1,1,1,NA,0.954545454545455
"TBC1D23",0.5,0.5,0.846573590279973,0.5,0.975609756097561
"FANCD2",1,1,1,0.8,0.985074626865672
"NIT2",0.74609375,0.74609375,0.964627606010508,0.833333333333333,0.96
"LNP1",0.5,0.5,0.846573590279973,0.5,0.933333333333333
"TMEM45A",1,1,1,NA,0.923076923076923
"TFG",1,1,1,NA,0.961538461538462
"ABI3BP",0.85546875,0.85546875,0.989012310590666,0.666666666666667,0.988235294117647
"FANCD2OS",0.604736328125,0.604736328125,0.90889616702116,0.774669321738212,0.9375
"BRK1",1,1,1,NA,0.5
"IMPG2",0.96875,0.96875,0.99950655149225,0.666666666666667,0.988235294117647
"SENP7",1,1,1,NA,0.979166666666667
"VHL",0.25,0.25,0.596573590279973,0.25,0.947368421052632
"TRMT10C",1,1,1,NA,0.96
"PCNP",1,1,1,NA,0.9
"ZBTB11",1,0.623046875,0.846573590279973,1,0.980769230769231
"RPL24",1,1,1,NA,0.75
"CEP97",1,1,1,NA,0.984126984126984
"IRAK2",0.107663574861362,0.107663574861362,0.347618117185363,0.484803964665099,0.984126984126984
"NXPE3",0.75,0.75,0.965761554338836,0.75,0.962962962962963
"NFKBIZ",0.78802490234375,0.78802490234375,0.975752597798862,0.78802490234375,0.978260869565217
"ZPLD1",1,1,1,NA,0.966666666666667
"TATDN2",1,1,1,NA,0.980769230769231
"GHRL",0.5,0.5,0.846573590279973,0.5,0.825143004238626
"SEC13",1,1,1,NA,0.952380952380952
"ATP2B2",0.125,0.121480108641663,0.128870147346273,0.125,0.983333333333333
"ALCAM",1,1,1,NA,0.971428571428571
"CBLB",1,1,1,NA,0.981481481481482
"CCDC54",1,1,1,NA,0.96551724137931
"BBX",0.99609375,0.99609375,0.999992360651913,0.5,0.982456140350877
"CD47",1,1,1,NA,0.944444444444444
"IFT57",1,1,1,NA,0.971428571428571
"SLC6A11",1,1,1,NA,0.967741935483871
"HHLA2",1,1,1,1,0.96875
"MYH15",0.74609375,0.74609375,0.964627606010508,0.8,0.99390243902439
"DZIP3",0.7255859375,0.7255859375,0.95833631868662,0.75,0.986486486486487
"RETNLB",1,1,1,NA,0.909090909090909
"TRAT1",0.8665771484375,0.8665771484375,0.990674583064462,0.968824938285294,0.944444444444444
"GUCA1C",1,1,1,NA,0.944444444444444
"MORC1",0.75,0.75,0.965761554338836,0.75,0.975609756097561
"DPPA2",1,1,1,NA,0.941176470588235
"DPPA4",1,1,1,NA,0.941176470588235
"SLC6A1",1,0.96728515625,0.999458936558564,NA,0.941176470588235
"CD96",0.163469791412354,0.163469791412354,0.459534355393709,0.364468379776766,0.980769230769231
"ZBED2",1,1,1,NA,0.964285714285714
"PLCXD2",0.75,0.75,0.965761554338836,0.75,0.96969696969697
"PHLDB2",0.875,0.875,0.991839968546457,0.875,0.989130434782609
"ABHD10",0.875,0.875,0.991839968546457,0.5,0.961538461538462
"TAGLN3",1,1,1,NA,0.8
"TMPRSS7",0.714205905795097,0.714205905795097,0.954596168357927,0.728166757364682,0.980769230769231
"C3orf52",1,1,1,NA,0.9375
"GCSAM",1,1,1,NA,0.941176470588235
"SLC9C1",0.8665771484375,0.8665771484375,0.990674583064462,0.666666666666667,0.986486486486487
"CD200",1,1,1,NA,0.928571428571429
"BTLA",1,1,1,NA,0.875
"ATG3",1,1,1,NA,0.928571428571429
"SLC35A5",0.5,0.5,0.846573590279973,0.75,0.96875
"HRH1",1,1,1,NA,0.96551724137931
"CCDC80",0.3125,0.3125,0.675984628064276,0.3125,0.987654320987654
"CD200R1L",1,1,1,NA,0.956521739130435
"CD200R1",1,1,1,1,0.95
"ATG7",0.685470581054688,0.685470581054688,0.94433833825164,0.66661100667274,0.975609756097561
"GTPBP8",0.75,0.75,0.965761554338836,0.5,0.956521739130435
"BOC",0.3125,0.3125,0.675984628064276,0.5,0.992
"SPICE1",0.85546875,0.85546875,0.989012310590666,0.75,0.987012987012987
