"","Burden.OR","Burden.pvalue","MIRAGE.risk.prop","MIRAGE.pvalue","cate.index","No.var.case","No.var.control","combine.feature"
"87",1.01871055004509,0.0651305081873438,0.0326974516403546,3.25955213940788e-05,"Missense; AF<0.1%",13557,13308,"SIFT<0.05_Haploinsuff_MAF<1e-4"
"88",0.988930964171279,0.82272354778589,9.448752610107e-06,1,"Missense; AF>0.1%",13580,13732,"SIFT<0.05_SCZ gene_le-3<MAF<1e-2"
"89",1.00425607377195,0.414359365029986,0.0113127939687287,0.132177478039759,"Missense; AF<0.1%",5663,5639,"SIFT<0.05_SCZ gene_1e-4<MAF<1e-3"
"90",1.03485196110565,0.00989858670090159,0.042898007511412,6.18473715290699e-06,"Missense; AF<0.1%",9472,9153,"SIFT<0.05_SCZ gene_MAF<1e-4"
"91",0.55,0.964622227009386,1.31110343208798e-05,1,"LoF",11,20,"LoF_ID gene_le-3<MAF<1e-2"
"92",1.16666666666667,0.310072382540653,6.69386323976388e-05,1,"LoF",35,30,"LoF_ID gene_1e-4<MAF<1e-3"
"93",0.902097902097902,0.818446064364107,0.000279382542462367,1,"LoF",129,143,"LoF_ID gene_MAF<1e-4"
"94",1.2,0.5,0.168134254513731,0.781579525082598,"LoF",6,5,"LoF_High_1e-4<MAF<1e-3"
"95",1.80645161290323,0.00483660927363494,0.464311802172877,0.00253622787281027,"LoF",56,31,"LoF_High_MAF<1e-4"
"96",1.08620689655172,0.358147057288321,1.45830027732225e-05,1,"LoF",63,58,"LoF_Mod_le-3<MAF<1e-2"
"97",1.14,0.281046342526895,0.0223361940938974,0.810444414669059,"LoF",57,50,"LoF_Mod_1e-4<MAF<1e-3"
"98",1.29126213592233,0.0294154760481314,0.226580775593237,0.00854921580828869,"LoF",133,103,"LoF_Mod_MAF<1e-4"
"99",0.88135593220339,0.776096933928126,2.50055833409793e-05,1,"LoF",52,59,"LoF_PSD_1e-4<MAF<1e-3"
"100",1.02994011976048,0.414026605201544,0.0411532380541513,0.607074819367883,"LoF",172,167,"LoF_PSD_MAF<1e-4"
"101",0.941176470588235,0.635833759559318,2.98015897758851e-05,1,"LoF",16,17,"LoF_FMRP_le-3<MAF<1e-2"
"102",0.945945945945946,0.638025927126542,1.43134721015173e-05,1,"LoF",35,37,"LoF_FMRP_1e-4<MAF<1e-3"
"103",1.390625,0.000269143109224893,0.271530117840804,3.42025375792739e-05,"LoF",267,192,"LoF_FMRP_MAF<1e-4"
"104",1.72727272727273,0.100244211032987,0.424772308845256,0.285090767574121,"LoF",19,11,"LoF_AutismKB_1e-4<MAF<1e-3"
"105",1.0989010989011,0.281399242895547,0.111279222411738,0.227720940984872,"LoF",100,91,"LoF_AutismKB_MAF<1e-4"
"106",0.927536231884058,0.749951436856495,8.39637211734285e-06,1,"LoF",128,138,"LoF_constraint gene_le-3<MAF<1e-2"
"107",0.852941176470588,0.775018731854888,2.12161171195695e-05,1,"LoF",29,34,"LoF_constraint gene_1e-4<MAF<1e-3"
"108",1.20143884892086,0.0612858826870741,0.161078740521079,0.0510759542420737,"LoF",167,139,"LoF_constraint gene_MAF<1e-4"
"109",1.33009708737864,0.0164716974306836,2.36040837947237e-05,1,"LoF",137,103,"LoF_RVIS_le-3<MAF<1e-2"
"110",1.13186813186813,0.214873747507239,0.0533166982526089,0.606551696087626,"LoF",103,91,"LoF_RVIS_1e-4<MAF<1e-3"
"111",1.18850574712644,0.004312355387253,0.137642225081943,0.00312808377186232,"LoF",517,435,"LoF_RVIS_MAF<1e-4"
"112",1.18867924528302,0.106078079539279,2.16483373749379e-05,1,"LoF",126,106,"LoF_Haploinsuff_le-3<MAF<1e-2"
"113",0.795081967213115,0.960653133114018,3.44079327507105e-05,1,"LoF",97,122,"LoF_Haploinsuff_1e-4<MAF<1e-3"
"114",1.10921501706485,0.0136673342791182,0.0962668581816347,0.00261250683365717,"LoF",975,879,"LoF_Haploinsuff_MAF<1e-4"
"115",1.06393861892583,0.19910710044268,4.98853463516843e-06,1,"LoF",416,391,"LoF_SCZ gene_le-3<MAF<1e-2"
"116",0.901459854014598,0.890051293933378,0.00625138604776389,0.883837594556847,"LoF",247,274,"LoF_SCZ gene_1e-4<MAF<1e-3"
"117",1.08857509627728,0.0458984419319166,0.0872154649347746,0.00914969676774456,"LoF",848,779,"LoF_SCZ gene_MAF<1e-4"
